dataset,channel_set,group,Method,n_tasks,Acc_mean_tasks,Acc_std_task,Macro_F1_mean_tasks,Macro_F1_std_task,E_F1_mean_tasks,E_F1_std_task,M_F1_mean_tasks,M_F1_std_task,L_F1_mean_tasks,L_F1_std_task,M_Pre_mean_tasks,M_Pre_std_task,M_Rec_mean_tasks,M_Rec_std_task,M_to_E_mean_tasks,M_to_E_std_task,M_to_L_mean_tasks,M_to_L_std_task,Rev_mean_tasks,Rev_std_task,Jump_mean_tasks,Jump_std_task,Smooth_mean_tasks,Smooth_std_task,q_MAE_mean_tasks,q_MAE_std_task,q_RMSE_mean_tasks,q_RMSE_std_task,q_R2_mean_tasks,q_R2_std_task,Spearman_mean_tasks,Spearman_std_task,Pearson_mean_tasks,Pearson_std_task,q_Smooth_mean_tasks,q_Smooth_std_task,scenario
mendeley,primary,cross_machine_dual,B10,3,0.5079562439855821,0.11497197338213778,0.45756200382544227,0.12997383997893042,0.7108808436828399,0.10564426790962807,0.24679155839379727,0.173111574425951,0.41501360939968973,0.1593293328435924,0.43311058685285714,0.17553979686336232,0.22023124355058266,0.15935061582038715,0.4014922151033479,0.30676254035580763,0.3782765413460694,0.2748992574581966,23.400000000000002,4.866210024238576,13.666666666666666,16.64011217910905,0.03585168052398397,0.017059553764196895,,,,,,,,,,,,,dual_source
mendeley,primary,cross_machine_dual,B11,3,0.5185596868848225,0.1427675089875495,0.46544054478768454,0.1724466452038866,0.7145134975202797,0.11161076468781231,0.3014297384129367,0.19763586999203173,0.38037839842983723,0.23878220603960176,0.4175550497280052,0.15871148646561392,0.3022452260810326,0.21108297394672854,0.3726441511899708,0.2628230090061849,0.32511062272899655,0.22599172008651872,24.53333333333333,3.407834111768548,15.6,17.42182539230605,0.040353310379646574,0.02228777729412263,0.15964528336432474,0.03497969371976599,0.21067045010772012,0.03990909342929899,-0.11191464258260973,0.40553656738046645,0.565054230345213,0.16212566812008106,0.43955630170247023,0.035320171541240834,0.0072852919209650925,0.005737321916636872,dual_source
mendeley,primary,cross_machine_dual,B12,3,0.48877958812907973,0.06696403361934392,0.3977180982969131,0.02178675235974804,0.6119365091784544,0.044564314152218565,0.4018682691647324,0.23390449711549946,0.17934951654755263,0.15387715425054804,0.43042739029042126,0.0683189999155651,0.5313982525554216,0.4089563972390122,0.2532488310673821,0.2868060527604351,0.21535291637719625,0.3002933795531643,12.666666666666666,10.431362966234726,2.733333333333333,3.442867022313428,0.030699774081645394,0.02102714613323239,0.15964528336432474,0.03497969371976599,0.21067045010772012,0.03990909342929899,-0.11191464258260973,0.40553656738046645,0.565054230345213,0.16212566812008106,0.43955630170247023,0.035320171541240834,0.0072852919209650925,0.005737321916636872,dual_source
mendeley,primary,cross_machine_dual,B9,3,0.5007888021458191,0.1777471861236188,0.4522219295712102,0.20212424529346593,0.6799053340297573,0.12085130377313388,0.2786007409812706,0.3434509355470824,0.3981597137026029,0.1540894716426616,0.37352491268808713,0.2934840069409711,0.27460418109764034,0.37192762801865015,0.40013641398732175,0.3719433511666964,0.32525940491503785,0.2577991646650978,39.46666666666667,15.601709308064077,36.199999999999996,48.65922317505695,0.045984280783349235,0.021218183565520913,,,,,,,,,,,,,dual_source
