bootstrap_id,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L
0,0.9671052631578947,0.9678294044275008,0.973384030418251,0.9576271186440678,0.9724770642201835,0.9826086956521739,0.9338842975206612,0.04132231404958644,0.024793388429751862
1,0.9769736842105263,0.9694989106753812,0.9401709401709402,0.9683257918552036,1.0,0.9907407407407407,0.9469026548672567,0.0530973451327429,0.0
2,0.9736842105263158,0.9682057276446523,0.9322033898305084,0.9724137931034482,1.0,0.9929577464788732,0.9527027027027027,0.04729729729729698,0.0
3,0.9868421052631579,0.9858829256419618,0.9696969696969697,0.9879518072289156,1.0,1.0,0.9761904761904762,0.02380952380952367,0.0
4,0.9605263157894737,0.9588389350414808,0.9281045751633987,0.9534883720930233,0.9949238578680203,0.984,0.924812030075188,0.06766917293233032,0.007518796992481147
5,0.9802631578947368,0.9791463017269469,0.967741935483871,0.9696969696969697,1.0,0.9896907216494846,0.9504950495049505,0.049504950495049015,0.0
6,0.9769736842105263,0.9768936551589137,0.9832402234636871,0.975609756097561,0.971830985915493,1.0,0.9523809523809523,0.020408163265305986,0.02721088435374131
7,0.9835526315789473,0.9834408085047471,0.9777777777777777,0.9773755656108597,0.9951690821256038,1.0,0.9557522123893806,0.03539823008849526,0.008849557522123816
8,0.9671052631578947,0.955506192597038,0.9206349206349206,0.9712643678160919,0.9746192893401016,0.9941176470588236,0.949438202247191,0.022471910112359425,0.02808988764044928
9,0.993421052631579,0.992066383323214,0.9836065573770492,0.9925925925925926,1.0,1.0,0.9852941176470589,0.014705882352941069,0.0
10,0.9868421052631579,0.9848166989180814,0.9795918367346939,0.978494623655914,0.9963636363636363,1.0,0.9578947368421052,0.03157894736842072,0.010526315789473575
11,0.9572368421052632,0.9513990046707832,0.9,0.9604863221884499,0.9937106918238994,0.9875,0.9349112426035503,0.059171597633135745,0.005917159763313575
12,0.9703947368421053,0.9569458829729923,0.9047619047619048,0.9706840390879479,0.9953917050691244,0.9933333333333333,0.9490445859872612,0.044585987261146216,0.006369426751592316
13,0.9802631578947368,0.9805642868301828,0.9710982658959537,0.976,0.9945945945945946,1.0,0.953125,0.039062499999999695,0.007812499999999939
14,0.9736842105263158,0.9740780016495817,0.9512195121951219,0.9710144927536232,1.0,0.9852941176470589,0.9571428571428572,0.04285714285714255,0.0
