metric,point_estimate,bootstrap_mean,bootstrap_std,ci_2.5,ci_97.5,n_bootstrap,block_length
Acc,0.9046052631578947,0.9008736842105264,0.049195073571849934,0.7927631578947368,0.9835526315789473,5000,12
MacroF1,0.9000776159216511,0.8876604724859705,0.05682512461868563,0.7629604069280153,0.9838389200987719,5000,12
E_F1,0.8251748251748252,0.796356170027516,0.12942177726041693,0.4946176150779268,1.0,5000,12
M_F1,0.896797153024911,0.8923723132799898,0.05854380158261038,0.7562889671997831,0.9833887043189369,5000,12
L_F1,0.9782608695652174,0.9742529341504054,0.026571815491736116,0.9130361832506565,1.0,5000,12
M_Precision,0.8289473684210527,0.827225528312872,0.0929327064152382,0.6219512195121951,0.9875019409937889,5000,12
M_Recall,0.9767441860465116,0.9754481771772243,0.022650592275907235,0.9208478615880302,1.0,5000,12
M_to_E,0.0,0.0,0.0,0.0,0.0,5000,12
M_to_L,0.02325581395348819,0.02455182282277545,0.022650592275907034,0.0,0.07915213841196903,5000,12
