ID,Configuration,delta_Acc,delta_Macro-F1,delta_M-F1,delta_M-Rec,delta_Smooth,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
A1,Temperature-scaled raw stage head,0.0,0.0,0.0,0.0,0.0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,configuration_delta_vs_A1,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,DERIVED
A2,Raw plus fine-state stage probability,0.0,0.0,0.0,0.0,-0.0036854462615818,PHM2010,D1,PHM_D1_FROZEN_B11_B12,configuration_delta_vs_A1,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,DERIVED
A3,Raw plus q-hat degradation-position prior,0.0,0.0,0.0,0.0,-0.0027373442183612,PHM2010,D1,PHM_D1_FROZEN_B11_B12,configuration_delta_vs_A1,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,DERIVED
A4,Raw plus weighted fine/prior mixture,0.0,0.0,0.0,0.0,-0.0030600485843766,PHM2010,D1,PHM_D1_FROZEN_B11_B12,configuration_delta_vs_A1,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,DERIVED
A5,Causal ordered filter applied to A4 mix,-0.0131578947368421,-0.0127184200252794,-0.0156862745098039,-0.0155038759689921,-0.00999799503131,PHM2010,D1,PHM_D1_FROZEN_B11_B12,configuration_delta_vs_A1,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,DERIVED
A6,Final blend of A4 mix and A5 ordered output,-0.0032894736842106,-0.0031283853320333,-0.0038602941176471,0.0,-0.0048317457072752,PHM2010,D1,PHM_D1_FROZEN_B11_B12,configuration_delta_vs_A1,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,DERIVED
