task,seed,predicted_stage,n_samples,mean_q_true,std_q_true,mean_q_hat,std_q_hat,mean_VB,std_VB
D1-M,42,early,1172,0.38276648858905166,0.1441482164143378,0.3417253688737201,0.015674004809957377,68.06740614334471,20.175101863339783
D1-M,42,late,5,0.5303887738670312,0.09650567991245446,0.621906828,0.031203224172212853,86.4,14.876155417311288
D1-M,42,middle,568,0.7429066130273765,0.1558231542997611,0.42885053686619723,0.03006440784248275,117.73239436619718,22.535229090585894
D1-M,52,early,1380,0.4657031033257886,0.22370225078560624,0.38509857494927535,0.014562871603543063,79.58333333333333,30.735100821835644
D1-M,52,middle,365,0.6316573756319598,0.1722804675248873,0.587429483150685,0.02944767599431918,102.06575342465753,26.757171264166036
D1-M,62,early,650,0.3514353094102604,0.1257125372535032,0.3616326713230769,0.033950262130774234,60.95230769230769,15.99843605311311
D1-M,62,late,512,0.5476220634308284,0.23360973065895038,0.7487453223632814,0.06353419606140787,92.056640625,30.759128517026568
D1-M,62,middle,583,0.6250596519759866,0.2072291324635883,0.5240198154888508,0.09155969644502904,103.47684391080618,28.115661867643507
D1-M,72,early,1008,0.3822599262806079,0.17908639251276282,0.36905603226190475,0.03425406325605328,67.68452380952381,24.291585184912442
D1-M,72,late,96,0.5509067556168971,0.09297923364146253,0.7638702606250001,0.11673919906895402,89.51041666666667,14.442623170154643
D1-M,72,middle,641,0.6786586122701695,0.17661088897296467,0.4472974216224649,0.05737151656603616,109.60998439937597,25.11338338726995
D1-M,82,early,639,0.28560747503462475,0.07084275906345883,0.34220047912363066,0.014649538371559022,55.05007824726135,10.249122410331314
D1-M,82,late,136,0.5602579195929543,0.14866074189568027,0.73527284875,0.0746606024609347,90.94117647058823,23.142318045770406
D1-M,82,middle,970,0.6335329598798831,0.18846013678442655,0.42408875090721654,0.05429686212096155,102.61237113402062,26.72089915299004
D2-M,42,early,647,0.32299025639100387,0.06284207232497004,0.25650572698608964,0.019227814453966544,50.38485316846986,9.023290431895962
D2-M,42,middle,2104,0.608129565709145,0.16526984207018286,0.5669388796863118,0.07367988097177346,91.37690114068441,23.77270036494955
D2-M,52,early,54,0.15728509706642496,0.04564817365244837,0.4136560162962963,0.0033422069376648025,26.555555555555557,6.688956448115048
D2-M,52,middle,2697,0.5487526536505131,0.18473011939174075,0.46187686995550614,0.020166081463517126,82.84093437152391,26.564508858199655
D2-M,62,early,676,0.32544723376934026,0.06257466566659635,0.2807865071301775,0.014464587305138308,50.744082840236686,8.99042505742233
D2-M,62,late,97,0.9125579863529322,0.10537086927869362,0.7177797780412372,0.010097461053657419,134.7835051546392,15.101204976841329
D2-M,62,middle,1978,0.596541378884081,0.1518955275710256,0.5350799635389282,0.0922209970066756,89.72649140546007,21.89297820336989
D2-M,72,early,621,0.32063537355203836,0.06305516478989867,0.5035413427858294,0.005449531822715406,50.05475040257649,9.061273364043446
D2-M,72,middle,2130,0.6053355564137112,0.16617080813025034,0.4931431990375586,0.007229993696956544,90.97276995305164,23.90534823703871
D2-M,82,early,17,0.10621008374221097,0.015481234211647571,0.37825627705882353,0.005327191801347787,19.235294117647058,2.305683514836378
D2-M,82,middle,2734,0.5437723960180699,0.1883803141369542,0.5226578806035114,0.05639357986543848,82.12472567666423,27.090100971287683
D3-M,42,early,84,0.31646504365703226,0.08852296100147268,0.40481584988095226,0.004845748261329417,48.726190476190474,12.341868393122704
D3-M,42,middle,1739,0.5378688346765321,0.19467807572213225,0.4647764216503738,0.05466932629118862,83.27372052903968,28.805443452815222
D3-M,52,early,292,0.33246016673657575,0.05745517833088011,0.3617701546917808,0.021676036870748802,52.044520547945204,8.047629100150985
D3-M,52,late,1313,0.5861811826570665,0.16914812449702715,0.8381019803808072,0.05891014541499364,90.68316831683168,25.45536801316816
D3-M,52,middle,218,0.4367096589627132,0.25870433894010103,0.47976703371559637,0.09102947830162393,67.1651376146789,35.44269438776976
D3-M,62,early,797,0.4206601789253457,0.19104603160972436,0.3549400173651192,0.08139438956832158,65.72521957340025,27.689884023672626
D3-M,62,late,973,0.6230141194967999,0.13985258418301405,0.7667851132682426,0.07976494547851729,95.87461459403906,21.45299922868213
D3-M,62,middle,53,0.38637860935458906,0.25397384630123643,0.44100975867924525,0.07568824305838896,61.075471698113205,37.0295355382304
D3-M,72,early,1495,0.5244102295453777,0.2123431522778039,0.30543155125083615,0.05106085515406029,80.74180602006689,31.39326423891162
D3-M,72,late,241,0.5354371822543876,0.08931557770339868,0.7706160976763486,0.12514299816368885,85.21576763485477,13.585037738106635
D3-M,72,middle,87,0.5621070468509529,0.10974207908002,0.44024993356321834,0.10220526376591016,88.04597701149426,17.337892394900248
D3-M,82,early,482,0.31573453459913614,0.07102435368785569,0.2907027260165976,0.040633592256066366,50.33609958506224,10.266263084886726
D3-M,82,late,1232,0.6211503956851715,0.16281884413022185,0.8532919782142856,0.07189725777898,95.49594155844156,24.303723638638676
D3-M,82,middle,109,0.40821682576848706,0.11452416147590783,0.474405792293578,0.12301247169578507,64.1559633027523,16.77916163089437
D1-M,42,early,1172,0.38276648858905166,0.1441482164143378,0.3417253688737201,0.015674004809957377,68.06740614334471,20.175101863339783
D1-M,42,late,5,0.5303887738670312,0.09650567991245446,0.621906828,0.031203224172212853,86.4,14.876155417311288
D1-M,42,middle,568,0.7429066130273765,0.1558231542997611,0.42885053686619723,0.03006440784248275,117.73239436619718,22.535229090585894
