epoch,train_loss,train_acc,val_loss,val_acc
0,1.434599726919144,0.3531746031746032,1.0893768242427282,0.4126984126984127
1,1.090880278557066,0.4146825396825397,1.0865076723552884,0.4126984126984127
2,1.0889174521915497,0.4146825396825397,1.0878707794916063,0.4126984126984127
3,1.0829826782620142,0.4146825396825397,1.0778548603966123,0.4126984126984127
4,1.059358813459911,0.42658730158730157,1.0573932859632704,0.40476190476190477
5,0.9780051131097097,0.48412698412698413,1.0341514415211148,0.5396825396825397
6,0.9292319398077707,0.5813492063492064,1.0068988317535037,0.49206349206349204
7,0.9023964518592471,0.6388888888888888,0.9983747450132219,0.48412698412698413
8,0.8600570341897389,0.6051587301587301,0.9481379664133466,0.5
9,0.837756459675138,0.623015873015873,0.9453034334712558,0.48412698412698413
10,0.7927852112149435,0.6646825396825397,0.8874706569172087,0.6031746031746031
11,0.7565993174674019,0.6666666666666666,0.8787283405425057,0.5873015873015873
12,0.722562293211619,0.6884920634920635,0.7872593223102509,0.6507936507936508
13,0.696896043088701,0.7023809523809523,0.740395983060201,0.6666666666666666
14,0.6709697114096748,0.7003968253968254,0.7230837685721261,0.6984126984126984
15,0.6275898582405515,0.753968253968254,0.6658189277800303,0.7222222222222222
16,0.5860291691053481,0.7738095238095238,0.6330017253519997,0.6825396825396826
17,0.5638629945497664,0.7619047619047619,0.5619031616619655,0.7619047619047619
18,0.5366076722977653,0.7559523809523809,0.5134315102819412,0.7936507936507936
19,0.47812894270533607,0.8035714285714286,0.5093374001601386,0.8015873015873016
20,0.47460316665588864,0.7936507936507936,0.44801955421765643,0.8174603174603174
21,0.40709809509534683,0.8492063492063492,0.4026915260723659,0.8412698412698413
22,0.40811491816762896,0.8492063492063492,0.41666561365127563,0.8174603174603174
23,0.40877761963814024,0.8472222222222222,0.40808122735174873,0.8174603174603174
24,0.3574714121364412,0.8690476190476191,0.35327522622214425,0.873015873015873
25,0.3032345998854864,0.8988095238095238,0.39595357174911194,0.8095238095238095
26,0.34847861623007154,0.8591269841269841,0.35219554059089175,0.8492063492063492
27,0.3264485926382125,0.8670634920634921,0.3478865595090957,0.8650793650793651
28,0.2952479090955522,0.8948412698412699,0.34734719140189035,0.8650793650793651
29,0.3086225910792275,0.878968253968254,0.3093076530430052,0.873015873015873
30,0.29746904496162657,0.8690476190476191,0.35154068044253756,0.8412698412698413
31,0.26373733509154546,0.9047619047619048,0.27617186591738746,0.8968253968253969
32,0.25774880392210825,0.8988095238095238,0.233283918055277,0.8968253968253969
33,0.24189243453835685,0.9067460317460317,0.23401538601943425,0.8968253968253969
34,0.24506127503183153,0.9107142857142857,0.2701865179198129,0.8888888888888888
35,0.2388183129212213,0.9186507936507936,0.24616512821780312,0.8888888888888888
36,0.23610760105980766,0.9087301587301587,0.27536677060619236,0.873015873015873
37,0.2314559963960496,0.9007936507936508,0.22913985261841427,0.8809523809523809
38,0.2118158515483614,0.9126984126984127,0.19604881935649449,0.9285714285714286
39,0.20007998720994072,0.9166666666666666,0.20962294534085288,0.9285714285714286
40,0.18832529016903468,0.9226190476190477,0.225737536000827,0.8968253968253969
41,0.18107064967117611,0.9226190476190477,0.2253121447468561,0.9047619047619048
42,0.21188537800122823,0.9087301587301587,0.28894055551952785,0.8571428571428571
43,0.21435058448049757,0.9146825396825397,0.1856515487981221,0.9285714285714286
44,0.17787263767113762,0.9285714285714286,0.1820637309362018,0.9285714285714286
45,0.1720799205322114,0.9285714285714286,0.2064930478495265,0.9126984126984127
46,0.213897143564527,0.9087301587301587,0.17014861272441018,0.9365079365079365
47,0.17831470971069638,0.9285714285714286,0.2036868544324996,0.9047619047619048
48,0.23107901948785026,0.9047619047619048,0.34936551560485174,0.8888888888888888
49,0.2655125175203596,0.8928571428571429,0.2843959281841914,0.8571428571428571
50,0.19771492197400048,0.9265873015873016,0.2546735968854692,0.8968253968253969
51,0.18555926460595357,0.9325396825396826,0.21216818051678793,0.9126984126984127
52,0.18490614304466854,0.9285714285714286,0.1706355009523649,0.9444444444444444
53,0.14154414560586687,0.9503968253968254,0.18396885976904914,0.9444444444444444
54,0.13757487824038853,0.9503968253968254,0.14014990391239288,0.9365079365079365
55,0.12058905523920817,0.9583333333333334,0.1551829335235414,0.9444444444444444
56,0.10868640456880842,0.9623015873015873,0.16896879885877883,0.9444444444444444
57,0.10703304374501818,0.9603174603174603,0.1379446777559462,0.9444444444444444
58,0.1161227643726364,0.9523809523809523,0.13968795502469653,0.9365079365079365
59,0.13325528433871647,0.9484126984126984,0.16280314113412583,0.9444444444444444
60,0.10574125971585985,0.9642857142857143,0.18053133762072002,0.9365079365079365
61,0.11025434046510667,0.9642857142857143,0.13971901472125733,0.9285714285714286
62,0.11033038960562812,0.9523809523809523,0.19531976183255514,0.9523809523809523
63,0.1790568111907868,0.9246031746031746,0.17047580296084994,0.9285714285714286
64,0.14855538527407344,0.9404761904761905,0.16088571245708164,0.9444444444444444
65,0.11188723549010261,0.9563492063492064,0.24344772147753882,0.9206349206349206
66,0.11714082885356177,0.9543650793650794,0.15437032306005086,0.9523809523809523
67,0.08320069153394018,0.9682539682539683,0.14880868922623378,0.9365079365079365
68,0.07772107753488752,0.9702380952380952,0.14631336312445384,0.9444444444444444
69,0.11285271720280723,0.9523809523809523,0.15802007712542065,0.9285714285714286
70,0.10139429498286474,0.9583333333333334,0.2060534433713035,0.9206349206349206
71,0.07427010791642326,0.9742063492063492,0.14007174874108935,0.9603174603174603
72,0.06346936506174859,0.9781746031746031,0.14370680423009963,0.9523809523809523
73,0.05632431000944168,0.9821428571428571,0.15757565578771016,0.9285714285714286
74,0.059426697059756235,0.9761904761904762,0.2203683772730449,0.9285714285714286
75,0.059301598322769954,0.9801587301587301,0.15856910532429105,0.9285714285714286
76,0.0521009076268427,0.9821428571428571,0.17461280359162223,0.9285714285714286
77,0.05006013378973991,0.9841269841269841,0.231560160243322,0.9206349206349206
78,0.0546981966684735,0.9781746031746031,0.21172823153790973,0.9047619047619048
79,0.07521852614387634,0.9722222222222222,0.1529685798145476,0.9365079365079365
80,0.07140003263004242,0.9761904761904762,0.23765098788435496,0.9285714285714286
81,0.05988432029410014,0.9781746031746031,0.22794248045436918,0.9365079365079365
82,0.07068759584355921,0.9722222222222222,0.1782033878659445,0.9365079365079365
83,0.04039543963200043,0.9880952380952381,0.2010902284629761,0.9285714285714286
84,0.07582718672023879,0.9682539682539683,0.20398503589251685,0.9365079365079365
85,0.07330778134720665,0.9702380952380952,0.18558609532931494,0.9365079365079365
86,0.06399507347553496,0.9702380952380952,0.21206689093794143,0.9126984126984127
