Method,Acc,Acc_CI_low,Acc_CI_high,MacroF1,MacroF1_CI_low,MacroF1_CI_high,M_F1,M_F1_CI_low,M_F1_CI_high,M_Rec,M_Rec_CI_low,M_Rec_CI_high,M_to_E,M_to_L,Rev,Jump,Smooth,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
Multi-task TCN-GRU,0.9901315789473684,0.9671052631578948,1.0,0.9902304781561748,0.9655697414013222,1.0,0.9882352941176472,0.9589015443024984,1.0,0.9767441860465116,0.9210478985232866,1.0,0.0232558139534881,0.0,0,0,0.0235900990099009,PHM2010,D1,PHM_D1_COMMON_304,method_point_with_bootstrap_ci,moving_block_bootstrap_95CI,304,run_id_12_315_common_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,DERIVED
DC-PSR,0.986842105263158,0.9638157894736842,1.0,0.9871020928241414,0.9614595332226532,1.0,0.984375,0.9539742072230788,1.0,0.9767441860465116,0.9210478985232866,1.0,0.0232558139534881,0.0,0,0,0.018762706270627,PHM2010,D1,PHM_D1_COMMON_304,method_point_with_bootstrap_ci,moving_block_bootstrap_95CI,304,run_id_12_315_common_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,DERIVED
