Method,M_Pre,M_Rec,M_F1,M_to_E,M_to_L,Acc,n
RF,0.9919354838709677,0.9534883720930233,0.9723320158102766,0.03875968992248062,0.007751937984496124,0.9769736842105263,304
MTF-AViTK,0.9477611940298507,0.9844961240310077,0.9657794676806083,0.015503875968992248,0.0,0.9703947368421053,304
Multi-task TCN-GRU,1.0,0.9767441860465116,0.988235294117647,0.023255813953488372,0.0,0.9901315789473685,304
DC-PSR,0.9921259842519685,0.9767441860465116,0.9843749999999999,0.023255813953488372,0.0,0.9868421052631579,304
