method_id,method_name,aliases,role,notes
rf,RF,Random Forest,comparison,one canonical row per method_id; aliases are non-canonical labels
tcn_gru,TCN-GRU,TCN GRU,comparison,one canonical row per method_id; aliases are non-canonical labels
multitask_tcn_gru,Multi-task TCN-GRU,Multitask TCN-GRU,comparison,one canonical row per method_id; aliases are non-canonical labels
dc_psr,DC-PSR,B12,proposed,one canonical row per method_id; aliases are non-canonical labels
htt_net,HTT-Net (adapted),HTT-Net,comparison,one canonical row per method_id; aliases are non-canonical labels
multi_source_attention,Multi-source Attention,Multi-source Channel-Spatial Attention,comparison,one canonical row per method_id; aliases are non-canonical labels
mtf_avitk,MTF-AViTK,,comparison,one canonical row per method_id; aliases are non-canonical labels
dynamic_gin_tgp,Dynamic GIN + TGP,,comparison,one canonical row per method_id; aliases are non-canonical labels
dp2net_adapted,DP2Net-adapted,DP2Net,comparison,one canonical row per method_id; aliases are non-canonical labels
