epoch,train_loss,train_acc,val_run_level_acc,time_s
0,0.959885006859189,0.5043650793650793,0.5873015873015873,77.17614364624023
1,0.917803712875124,0.5416666666666666,0.6349206349206349,68.9119062423706
2,0.7912909371512277,0.6051587301587301,0.6190476190476191,68.93378686904907
3,0.7757169935438368,0.6321428571428571,0.6746031746031746,70.38214778900146
4,0.7086063929966517,0.6761904761904762,0.6428571428571429,71.262624502182
5,0.6214880928160652,0.7154761904761905,0.7142857142857143,72.22117948532104
6,0.46645369756789434,0.8,1.0,71.56231093406677
7,0.23475949272276864,0.9115079365079365,1.0,72.5578625202179
8,0.1451292567782932,0.946031746031746,1.0,71.28469562530518
9,0.09683807312496125,0.9646825396825397,0.9920634920634921,72.03754663467407
10,0.09218575159708658,0.9626984126984127,1.0,72.64403915405273
11,0.0660060171097044,0.975,1.0,71.49614191055298
12,0.06213775627196781,0.9797619047619047,1.0,72.23303937911987
13,0.04624728002245464,0.9817460317460317,1.0,71.52891278266907
14,0.03581232135258024,0.9865079365079366,1.0,71.30810260772705
15,0.04265183101570796,0.9857142857142858,1.0,72.45012497901917
16,0.024835419229098727,0.9916666666666667,1.0,72.4303650856018
