Method,method_id,Task,source,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth,n_test,test_universe,aggregation_level,protocol_id,source_path,status,dataset_id,task_id,uncertainty_type
RF,rf,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9769736842105264,0.9773279380019092,0.9651162790697676,0.9723320158102768,0.994535519125683,0.9919354838709676,0.9534883720930232,0.0387596899224803,0.007751937984496,5,0,0.1104950495049505,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
TCN-GRU,tcn_gru,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.868421052631579,0.8745597385825539,0.8316831683168316,0.8260869565217391,0.9659090909090908,0.9405940594059404,0.7364341085271318,0.2635658914728662,0.0,0,0,0.0219511551155115,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
Multi-task TCN-GRU,multitask_tcn_gru,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9901315789473684,0.9902304781561748,0.9824561403508772,0.9882352941176472,1.0,1.0,0.9767441860465116,0.0232558139534881,0.0,0,0,0.0235900990099009,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
DC-PSR,dc_psr,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.986842105263158,0.9871020928241414,0.9824561403508772,0.984375,0.994475138121547,0.9921259842519684,0.9767441860465116,0.0232558139534881,0.0,0,0,0.018762706270627,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
HTT-Net (adapted),htt_net,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.7763157894736842,0.7793803418803419,0.9230769230769232,0.6458333333333334,0.7692307692307693,0.984126984126984,0.4806201550387597,0.1085271317829449,0.4108527131782914,4,3,0.0649591132819632,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
Multi-source Attention,multi_source_attention,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.8125,0.8195212874954683,0.8928571428571429,0.7543859649122807,0.8113207547169812,0.8686868686868687,0.6666666666666666,0.0620155038759685,0.2713178294573622,22,2,0.3251008335393325,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
MTF-AViTK,mtf_avitk,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9703947368421052,0.971338253932752,0.9882352941176472,0.9657794676806084,0.96,0.9477611940298508,0.9844961240310076,0.0155038759689921,0.0,8,0,0.190117658824726,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
Dynamic GIN + TGP,dynamic_gin_tgp,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.8026315789473685,0.8092427461877002,0.8235294117647058,0.7560975609756098,0.8481012658227848,0.7948717948717948,0.7209302325581395,0.2790697674418583,0.0,7,0,0.0854253416666666,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
DP2Net-adapted,dp2net_adapted,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9046052631578948,0.9000776159216511,0.8251748251748252,0.896797153024911,0.9782608695652174,0.8289473684210527,0.9767441860465116,0.0,0.0232558139534881,4,0,0.0534104998891336,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D1,point_estimate
RF,rf,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.8980263157894737,0.903055866300174,0.865979381443299,0.8724279835390947,0.9707602339181286,0.954954954954955,0.803030303030303,0.1969696969696955,0.0,2,0,0.0715841584158415,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
