group,delta_Acc_pp,delta_MF1_pp,Smooth_benefit_pct,Jump_benefit_pct
PHM D1,-0.3289473684210398,-0.38602941176472116,20.463639161700062,0.0
PHM D2,-0.3289473684210509,-0.606785366285767,6.610406132906918,0.0
PHM D3,0.6578947368421018,1.1043153244988058,-5.719837212279128,0.0
NASA (N1–N4 avg),-0.73529411764705,5.85725677830941,34.96334786355603,50.0
MTW-CM (3-task avg),-2.97800987557427,10.04385307517957,23.922538714122858,82.47863247863249
