epoch,train_loss,train_acc,val_run_level_acc,time_s,lr
0,0.8852401033753441,0.571031746031746,1.0,179.92895007133484,0.0001
1,0.7129793568736031,0.6869047619047619,1.0,186.1685802936554,0.0001
2,0.6885428792190931,0.6998015873015873,0.8650793650793651,188.5834240913391,0.0001
3,0.6432911231285996,0.7325396825396825,0.9206349206349206,189.13875555992126,0.0001
4,0.6180452554826699,0.7444444444444445,0.7142857142857143,191.7998948097229,0.0001
5,0.5793193892590583,0.7827380952380952,1.0,174.96211409568787,0.0001
6,0.5001070574753814,0.8259920634920634,0.9920634920634921,172.43675065040588,0.0001
7,0.4548919291191158,0.8456349206349206,0.7936507936507936,171.52828669548035,0.0001
8,0.4298855342621368,0.8577380952380952,0.9682539682539683,161.90160965919495,0.0001
9,0.3832810896256613,0.8799603174603174,0.5476190476190477,161.99546432495117,0.0001
10,0.3860397171347387,0.8740079365079365,0.9841269841269841,160.96404767036438,0.0001
11,0.38142812403421555,0.8720238095238095,0.8809523809523809,170.81483364105225,5e-05
12,0.31026990051189113,0.9055555555555556,0.873015873015873,170.28052639961243,5e-05
13,0.30948197378052605,0.9045634920634921,1.0,172.47234463691711,5e-05
14,0.2715953854637014,0.9168650793650793,0.9365079365079365,169.99794721603394,5e-05
15,0.28507379943297967,0.9089285714285714,1.0,169.13300585746765,5e-05
