Task,Method,metric,value,rank,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
D1,Multi-source Attention,Smooth,0.32510083353933256,9,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,MTF-AViTK,Smooth,0.19011765882472606,8,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,Dynamic GIN + TGP,Smooth,0.08542534166666667,6,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,DP2Net-adapted,Smooth,0.05341049988913365,4,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,RF,Acc,0.8980263157894737,3,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,TCN-GRU,Acc,0.569078947368421,8,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,Multi-task TCN-GRU,Acc,0.7993421052631579,5,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,DC-PSR,Acc,0.7960526315789473,6,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,HTT-Net (adapted),Acc,0.9276315789473685,1,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,Multi-source Attention,Acc,0.3223684210526316,9,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,MTF-AViTK,Acc,0.7861842105263158,7,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,Dynamic GIN + TGP,Acc,0.9078947368421053,2,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,DP2Net-adapted,Acc,0.868421052631579,4,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,RF,M_F1,0.8724279835390947,3,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,TCN-GRU,M_F1,0.015037593984962407,9,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,Multi-task TCN-GRU,M_F1,0.7136150234741784,6,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D2,DC-PSR,M_F1,0.7075471698113207,7,PHM2010,D2,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
