dataset,ΔAcc,ΔM-F1,Smooth benefit,Jump benefit,normalized_ΔAcc,normalized_ΔM-F1,normalized_Smooth benefit,normalized_Jump benefit
PHM2010,-0.0032894736842103978,-0.0038602941176472116,0.004827392739273899,0.0,-0.11045879032137391,-0.0384343945371602,0.0403629282169107,0.0
NASA,-0.007352941176470562,0.058572567783094165,0.11959966614244269,1.25,-0.24690788424778576,0.5831683054767007,1.0,0.09715025906735753
Cross-machine,-0.02978009875574276,0.10043853075179565,0.009653536298001203,12.866666666666665,-1.0,1.0,0.08071541175126595,1.0
