Method,Task,raw_value,normalized_score,rank,metric,normalization
TCN-GRU,D1,0.0219511551155115,0.9895917335745552,2,Smooth,(max_task-x)/(max_task-min_task)
TCN-GRU,D2,0.0049170101992785,1.0,1,Smooth,(max_task-x)/(max_task-min_task)
TCN-GRU,D3,0.0154958507046103,0.9969010701497923,4,Smooth,(max_task-x)/(max_task-min_task)
RF,D1,0.1104950495049505,0.7005519879219599,7,Smooth,(max_task-x)/(max_task-min_task)
RF,D2,0.0715841584158415,0.769467427002541,6,Smooth,(max_task-x)/(max_task-min_task)
RF,D3,0.091996699669967,0.8752530236364766,7,Smooth,(max_task-x)/(max_task-min_task)
HTT-Net,D1,0.0649591132819632,0.8491979845172362,5,Smooth,(max_task-x)/(max_task-min_task)
HTT-Net,D2,0.0141228986904025,0.9681663725334024,4,Smooth,(max_task-x)/(max_task-min_task)
HTT-Net,D3,0.0144736161455512,0.9985265793940656,3,Smooth,(max_task-x)/(max_task-min_task)
Multi-source Attention,D1,0.3251008335393325,0.0,9,Smooth,(max_task-x)/(max_task-min_task)
Multi-source Attention,D2,0.2941045525484364,0.0,9,Smooth,(max_task-x)/(max_task-min_task)
Multi-source Attention,D3,0.642417370505455,0.0,9,Smooth,(max_task-x)/(max_task-min_task)
MTF-AViTK,D1,0.190117658824726,0.4406345887079396,8,Smooth,(max_task-x)/(max_task-min_task)
MTF-AViTK,D2,0.1346638701846126,0.551340078720677,8,Smooth,(max_task-x)/(max_task-min_task)
MTF-AViTK,D3,0.1147880299904036,0.8390113237283312,8,Smooth,(max_task-x)/(max_task-min_task)
Dynamic GIN + TGP,D1,0.0854253416666666,0.7823887088740794,6,Smooth,(max_task-x)/(max_task-min_task)
Dynamic GIN + TGP,D2,0.0858003112626896,0.7203084876811374,7,Smooth,(max_task-x)/(max_task-min_task)
Dynamic GIN + TGP,D3,0.0853484107269987,0.8858248195512437,6,Smooth,(max_task-x)/(max_task-min_task)
DP2Net-adapted,D1,0.0534104998891336,0.8868968942017617,4,Smooth,(max_task-x)/(max_task-min_task)
DP2Net-adapted,D2,0.0419484991691269,0.8719464584503523,5,Smooth,(max_task-x)/(max_task-min_task)
DP2Net-adapted,D3,0.0235931199026226,0.984025174086512,5,Smooth,(max_task-x)/(max_task-min_task)
