Method,Acc,Acc_CI_low,Acc_CI_high,MacroF1,MacroF1_CI_low,MacroF1_CI_high,M_F1,M_F1_CI_low,M_F1_CI_high,M_Rec,M_Rec_CI_low,M_Rec_CI_high,M_to_E,M_to_L,Rev,Jump,Smooth
RF,0.9769736842105264,0.950657894736842,0.993421052631579,0.9773279380019092,0.9451518803779592,0.9936086452226968,0.9723320158102768,0.9407106250418704,0.9923664122137404,0.9534883720930232,0.9090909090909092,0.9855089882943144,0.0387596899224803,0.007751937984496,5,0,0.1104950495049505
TCN-GRU,0.868421052631579,0.7302631578947368,0.9671052631578948,0.8745597385825539,0.7373940992626998,0.9668215742727172,0.8260869565217391,0.6086956521739131,0.9586833465413788,0.7364341085271318,0.4635721208205459,0.9696969696969696,0.2635658914728662,0.0,0,0,0.0219511551155115
Multi-task TCN-GRU,0.9901315789473684,0.9671052631578948,1.0,0.9902304781561748,0.9655697414013222,1.0,0.9882352941176472,0.9589015443024984,1.0,0.9767441860465116,0.9210478985232866,1.0,0.0232558139534881,0.0,0,0,0.0235900990099009
DC-PSR,0.986842105263158,0.9638157894736842,1.0,0.9871020928241414,0.9614595332226532,1.0,0.984375,0.9539742072230788,1.0,0.9767441860465116,0.9210478985232866,1.0,0.0232558139534881,0.0,0,0,0.018762706270627
HTT-Net,0.7763157894736842,0.6084703947368421,0.9046052631578948,0.7793803418803419,0.6131803247529054,0.8989993099979691,0.6458333333333334,0.3555555555555555,0.8524673379379211,0.4806201550387597,0.2187299679487179,0.7525800908990133,0.1085271317829449,0.4108527131782914,4,3,0.0649591132819632
Multi-source Attention,0.8125,0.7038651315789474,0.8980263157894737,0.8195212874954683,0.7005943743830568,0.8955157857123801,0.7543859649122807,0.6016832172195071,0.8692003805741706,0.6666666666666666,0.4845360824742268,0.8333333333333334,0.0620155038759685,0.2713178294573622,22,2,0.3251008335393325
MTF-AViTK,0.9703947368421052,0.9375,0.993421052631579,0.971338253932752,0.937952239424025,0.993338927424782,0.9657794676806084,0.9135802469135802,0.993199561703876,0.9844961240310076,0.9532673773364486,1.0,0.0155038759689921,0.0,8,0,0.190117658824726
Dynamic GIN + TGP,0.8026315789473685,0.6480263157894737,0.9177631578947368,0.8092427461877002,0.638937132651509,0.9168241362851498,0.7560975609756098,0.5341582387564632,0.9008379739651684,0.7209302325581395,0.4690250228867867,0.9295836422041016,0.2790697674418583,0.0,7,0,0.0854253416666666
DP2Net-adapted,0.9046052631578948,0.7927631578947368,0.9835526315789472,0.9000776159216511,0.7629604069280153,0.983838920098772,0.896797153024911,0.7562889671997831,0.9833887043189368,0.9767441860465116,0.9208478615880302,1.0,0.0,0.0232558139534881,4,0,0.0534104998891336
