Method,Output,Acc,Macro-F1,M-F1,M-Rec,Smooth,delta_Acc,delta_Macro-F1,delta_M-F1,delta_M-Rec,delta_Smooth benefit
A1,raw,0.9901315789473684,0.9902304781561748,0.9882352941176472,0.9767441860465116,0.0236136597341461,0.0,0.0,0.0,0.0,0.0
A2,raw_fine,0.9901315789473684,0.9902304781561748,0.9882352941176472,0.9767441860465116,0.0199181494157699,0.0,0.0,0.0,0.0,0.0036955103183761995
A3,raw_prior,0.9901315789473684,0.9902304781561748,0.9882352941176472,0.9767441860465116,0.0208774523981142,0.0,0.0,0.0,0.0,0.002736207336031901
A4,mix,0.9901315789473684,0.9902304781561748,0.9882352941176472,0.9767441860465116,0.0205531362210349,0.0,0.0,0.0,0.0,0.003060523513111202
A5,ordered,0.9769736842105264,0.9775120581308951,0.9725490196078432,0.9612403100775194,0.0135916987330914,-0.013157894736841924,-0.012718420025279675,-0.015686274509803977,-0.015503875968992165,0.0100219610010547
A6,final,0.986842105263158,0.9871020928241414,0.984375,0.9767441860465116,0.0187762738464694,-0.0032894736842103978,-0.003128385332033412,-0.0038602941176472116,0.0,0.004837385887676699
