task,ΔAcc,ΔM-F1,Smooth benefit,Jump benefit,normalized_ΔAcc,normalized_ΔM-F1,normalized_Smooth benefit,normalized_Jump benefit
D1-M,0.03346704871060169,0.09103951485185646,0.012675013015510606,9.6,0.2932097165696343,0.6480510081206244,1.0,0.34042553191489366
D2-M,-0.11414031261359514,0.14048202025929246,0.0070944705118118,0.8,-1.0,1.0,0.5597209646357119,0.02836879432624114
D3-M,-0.008667032364234828,0.069794057144238,0.0091911253666812,28.199999999999996,-0.07593314023570062,0.4968184328173579,0.725137351372648,1.0
