Method,Label,precision,recall,f1-score,support
B1,early,1.0,0.2976,0.4587,84.0
B1,middle,0.5755,0.6202,0.597,129.0
B1,late,0.65,1.0,0.7879,91.0
B1,accuracy,,,0.6447,304.0
B1,macro avg,0.7418,0.6393,0.6145,304.0
B1,weighted avg,0.7151,0.6447,0.6159,304.0
B2,early,0.5793,1.0,0.7336,84.0
B2,middle,0.0,0.0,0.0,129.0
B2,late,0.5723,1.0,0.728,91.0
B2,accuracy,,,0.5757,304.0
B2,macro avg,0.3839,0.6667,0.4872,304.0
B2,weighted avg,0.3314,0.5757,0.4206,304.0
B3,early,0.9032,1.0,0.9492,84.0
B3,middle,0.9836,0.9302,0.9562,129.0
B3,late,1.0,0.978,0.9889,91.0
B3,accuracy,,,0.9638,304.0
B3,macro avg,0.9623,0.9694,0.9647,304.0
B3,weighted avg,0.9663,0.9638,0.964,304.0
B4,early,0.7885,0.9762,0.8723,84.0
B4,middle,0.8492,0.8295,0.8392,129.0
B4,late,1.0,0.8132,0.897,91.0
B4,accuracy,,,0.8651,304.0
B4,macro avg,0.8792,0.8729,0.8695,304.0
B4,weighted avg,0.8776,0.8651,0.8657,304.0
B5,early,0.954,0.9881,0.9708,84.0
B5,middle,0.9843,0.969,0.9766,129.0
B5,late,1.0,0.989,0.9945,91.0
B5,accuracy,,,0.9803,304.0
B5,macro avg,0.9794,0.982,0.9806,304.0
B5,weighted avg,0.9806,0.9803,0.9803,304.0
B6,early,0.9231,0.7143,0.8054,84.0
B6,middle,0.7949,0.9612,0.8702,129.0
B6,late,1.0,0.9121,0.954,91.0
B6,accuracy,,,0.8783,304.0
B6,macro avg,0.906,0.8625,0.8765,304.0
B6,weighted avg,0.8917,0.8783,0.8774,304.0
B7,early,0.9231,1.0,0.96,84.0
B7,middle,0.9831,0.8992,0.9393,129.0
B7,late,0.9368,0.978,0.957,91.0
B7,accuracy,,,0.9507,304.0
B7,macro avg,0.9477,0.9591,0.9521,304.0
B7,weighted avg,0.9526,0.9507,0.9503,304.0
B8,early,0.9524,0.9524,0.9524,84.0
B8,middle,0.9623,0.7907,0.8681,129.0
B8,late,0.7982,1.0,0.8878,91.0
B8,accuracy,,,0.898,304.0
B8,macro avg,0.9043,0.9144,0.9028,304.0
B8,weighted avg,0.9104,0.898,0.8973,304.0
B9,early,0.7545,0.9881,0.8557,84.0
B9,middle,0.988,0.6357,0.7736,129.0
B9,late,0.8198,1.0,0.901,91.0
B9,accuracy,,,0.8421,304.0
B9,macro avg,0.8541,0.8746,0.8434,304.0
B9,weighted avg,0.8731,0.8421,0.8344,304.0
B10,early,0.6885,1.0,0.8155,84.0
B10,middle,1.0,0.4651,0.6349,129.0
B10,late,0.7459,1.0,0.8545,91.0
B10,accuracy,,,0.773,304.0
B10,macro avg,0.8115,0.8217,0.7683,304.0
B10,weighted avg,0.8379,0.773,0.7505,304.0
B11,early,0.9767,1.0,0.9882,84.0
B11,middle,1.0,0.7132,0.8326,129.0
B11,late,0.7222,1.0,0.8387,91.0
B11,accuracy,,,0.8783,304.0
B11,macro avg,0.8997,0.9044,0.8865,304.0
B11,weighted avg,0.9104,0.8783,0.8774,304.0
B12,early,0.9655,1.0,0.9825,84.0
B12,middle,1.0,0.7287,0.843,129.0
B12,late,0.7398,1.0,0.8505,91.0
B12,accuracy,,,0.8849,304.0
B12,macro avg,0.9018,0.9096,0.892,304.0
B12,weighted avg,0.9126,0.8849,0.8838,304.0
