epoch,train_loss,train_acc,val_run_level_acc,time_s
0,1.0720785474020338,0.40515873015873016,0.626984126984127,74.75677871704102
1,0.998172384595114,0.4579365079365079,0.5555555555555556,70.33122515678406
2,0.893531242249504,0.5015873015873016,0.6825396825396826,70.25626182556152
3,0.8910985553075397,0.49166666666666664,0.6666666666666666,70.95702743530273
4,0.866783214750744,0.5170634920634921,0.6031746031746031,71.49242496490479
5,0.8034431578621032,0.546031746031746,0.6190476190476191,72.05327367782593
6,0.6867431882828001,0.5944444444444444,0.6031746031746031,72.51326942443848
7,0.5767117636544364,0.6611111111111111,0.7142857142857143,71.39549803733826
8,0.42206110727219354,0.7936507936507936,1.0,72.03807473182678
9,0.24413138495551215,0.9130952380952381,0.9920634920634921,72.66798567771912
10,0.158640988667806,0.9345238095238095,1.0,72.55164456367493
11,0.13591245469592866,0.9515873015873015,1.0,71.39663887023926
12,0.08065514942956349,0.9718253968253968,1.0,71.55051684379578
13,0.05679355651613266,0.9781746031746031,1.0,71.17604899406433
14,0.05026396740050543,0.9805555555555555,1.0,71.3255889415741
15,0.03504645729821826,0.9888888888888889,1.0,71.91249895095825
16,0.05464417338371277,0.9809523809523809,1.0,71.52095699310303
17,0.0398921393212818,0.9861111111111112,1.0,71.76973056793213
18,0.031211461528899177,0.9896825396825397,1.0,71.59627199172974
