epoch,train_loss,val_loss,val_acc,val_macro_f1,val_m_f1
1,1.0111181244254113,0.38372495770454407,0.8355263157894737,0.8092450254448448,0.8590163934426229
2,0.12287214864045382,0.45318925380706787,0.7861842105263158,0.7541000062739194,0.8198757763975155
3,0.11196795739233494,0.5369035601615906,0.8223684210526315,0.8119358158118436,0.8488745980707395
4,0.04128826404921711,0.6784479022026062,0.7927631578947368,0.7781000779516699,0.8073394495412844
5,0.05480284884106368,0.4923037886619568,0.7960526315789473,0.7883377907848576,0.8098159509202454
6,0.016305659129284323,0.8571863770484924,0.7730263157894737,0.7592555920048752,0.7927927927927928
7,0.03045540446182713,0.5770213007926941,0.7993421052631579,0.7900050855500161,0.8198757763975155
8,0.012708063039463013,0.6435823440551758,0.7796052631578947,0.7666753215281025,0.8
9,0.015041795698925853,0.8081057667732239,0.7730263157894737,0.7601086497638222,0.7927927927927928
10,0.006324623106047511,0.9772838950157166,0.7697368421052632,0.7546893819592132,0.7927927927927928
11,0.007784151181112975,0.9210026264190674,0.756578947368421,0.736817369307062,0.7880597014925373
12,0.006148642732296139,0.8043263554573059,0.7763157894736842,0.7643495276182382,0.7951807228915663
13,0.00738195541780442,0.8652739524841309,0.7631578947368421,0.7491217175064362,0.7880597014925373
14,0.007340803375700489,0.8817397952079773,0.7664473684210527,0.7526988408279262,0.7904191616766467
15,0.004976578813511878,0.9423751831054688,0.7598684210526315,0.7448950110921942,0.7857142857142857
16,0.005468969087814912,0.9703618288040161,0.756578947368421,0.7406195351515468,0.7833827893175074
17,0.0036753753258381037,1.0008457899093628,0.75,0.7297408947768768,0.7833827893175074
18,0.003953157830983401,0.9843990802764893,0.75,0.7297408947768768,0.7833827893175074
19,0.0034602608648128808,1.0098308324813843,0.7532894736842105,0.7332958380202476,0.7857142857142857
