epoch,train_loss,val_loss,val_acc,val_macro_f1,val_m_f1
1,1.2352096604183316,0.37526869773864746,0.9473684210526315,0.9409972414895577,0.9776119402985075
2,0.16084773130714894,0.7238613963127136,0.6842105263157895,0.6590801717383996,0.7702702702702703
3,0.3253852555528283,0.46417146921157837,0.8453947368421053,0.8349655911747416,0.8627450980392157
4,0.14888536678627134,0.12875977158546448,0.9539473684210527,0.9543644448585965,0.9496402877697842
5,0.0650656989775598,0.4140995740890503,0.8256578947368421,0.8130987068654129,0.832807570977918
6,0.01666903989389539,0.5534308552742004,0.8026315789473685,0.7840959994848881,0.8198757763975155
7,0.04739117705030367,0.40664711594581604,0.8782894736842105,0.8741292845640672,0.8888888888888888
8,0.02476167681743391,0.5404643416404724,0.8223684210526315,0.814204669266548,0.8301886792452831
9,0.04749697789666243,0.611612856388092,0.8092105263157895,0.8011964304122859,0.8198757763975155
10,0.019353392458288,0.6736500263214111,0.8092105263157895,0.8040159959159364,0.8198757763975155
11,0.031966002489207314,0.9274446368217468,0.7894736842105263,0.777010631644778,0.8048780487804879
12,0.010689073125831783,0.8125107288360596,0.7993421052631579,0.786807440925088,0.8123076923076923
13,0.008270186453592033,0.6216686367988586,0.8256578947368421,0.822576068632851,0.832807570977918
14,0.008496123310760596,0.8603804707527161,0.7861842105263158,0.7754137115839242,0.8024316109422492
15,0.0053484570176806304,1.0803155899047852,0.7763157894736842,0.763549879179521,0.7951807228915663
16,0.006355175015050918,1.0160175561904907,0.7763157894736842,0.763549879179521,0.7951807228915663
17,0.003849705745233223,0.9207456707954407,0.7828947368421053,0.7719939117199391,0.8
18,0.0035694797261385247,0.9325696229934692,0.7861842105263158,0.7754137115839242,0.8024316109422492
19,0.00410855442751199,0.9427925944328308,0.7796052631578947,0.7666753215281025,0.8
20,0.003264425630914047,0.9418056607246399,0.7796052631578947,0.7666753215281025,0.8
21,0.0027702658058842643,0.9522923827171326,0.7796052631578947,0.7666753215281025,0.8
22,0.0034783851268002765,0.932472825050354,0.7828947368421053,0.7719939117199391,0.8
