epoch,train_loss,val_loss,val_acc,val_macro_f1,val_m_f1
1,1.0678707941435277,1.5769543647766113,0.7368421052631579,0.7314954051796158,0.6992481203007519
2,0.9041134303952276,0.8968632221221924,0.8125,0.8142884984665152,0.7298578199052133
3,0.7335936229792424,0.9081451296806335,0.7598684210526315,0.7452902783791305,0.5521472392638037
4,0.4598052102694055,1.2159403562545776,0.7730263157894737,0.7719331056540358,0.7846153846153846
5,0.4615624438272789,0.6056157946586609,0.7730263157894737,0.7736178878842841,0.6310160427807486
6,0.06314173689170274,0.6285656690597534,0.8651315789473685,0.8690913314603886,0.8127853881278538
7,0.15073712692465052,0.8578376770019531,0.7960526315789473,0.796793826003448,0.6868686868686869
8,0.026584848400671036,0.9339815378189087,0.7993421052631579,0.8103030846742065,0.6934673366834171
9,0.07452901139240567,0.8456693887710571,0.8848684210526315,0.8875601677020116,0.8484848484848485
10,0.11281184590734483,1.2262424230575562,0.7828947368421053,0.7880472135066489,0.6597938144329897
11,0.020647817317512817,1.1269255876541138,0.7697368421052632,0.7722056251468016,0.7156862745098039
12,0.06739469647327496,1.2461907863616943,0.7302631578947368,0.7315506996358061,0.6063829787234043
13,0.011643425837610267,0.9673277139663696,0.8256578947368421,0.8322606337481105,0.8251121076233184
14,0.11432199374521587,1.0433926582336426,0.7894736842105263,0.8014631470966608,0.7342995169082126
15,0.012419835260880063,1.1294394731521606,0.8322368421052632,0.831325156811546,0.8641975308641975
16,0.13816227882889506,1.068886160850525,0.7993421052631579,0.806411998366559,0.7945205479452054
17,0.014118041569417983,1.3109315633773804,0.7598684210526315,0.7715042582689642,0.6767676767676768
18,0.015174745936928958,1.188105583190918,0.7631578947368421,0.7744973976936422,0.7219512195121951
19,0.006264915452629793,1.2698302268981934,0.7796052631578947,0.7882322203583886,0.7757009345794392
20,0.007250899673999811,1.444882869720459,0.743421052631579,0.7561136815941074,0.7093596059113301
21,0.007620361217777827,1.253542423248291,0.7828947368421053,0.7899648470135725,0.7945205479452054
22,0.010842443748515507,1.2642730474472046,0.7828947368421053,0.7914307524012165,0.7870370370370371
23,0.006295926706843602,1.3588322401046753,0.7532894736842105,0.7652227818246558,0.7281553398058253
24,0.005637985364774068,1.2998255491256714,0.7796052631578947,0.7879814923565206,0.7870370370370371
25,0.004354499355122244,1.3655704259872437,0.7697368421052632,0.7787134983396666,0.7757009345794392
26,0.0026379439164884388,1.476199984550476,0.7598684210526315,0.7694182705623169,0.7641509433962265
27,0.003933134087492363,1.4342390298843384,0.7730263157894737,0.7796647091461523,0.7981651376146789
