Method,old_5seed_Acc_mean,old_5seed_Acc_std,new_5seed_Acc_mean,new_5seed_Acc_std,std_reduction_ratio,old_MacroF1_std,new_MacroF1_std,old_MF1_std,new_MF1_std,diagnosis
RF,0.97766,0.0027609780875624238,0.9769736842105263,0.0023260091486399467,0.15754161211271936,0.0026482069405543013,0.002246506365590577,0.003269097734849797,0.0026875811585888214,Both old and new std are small (RF already robust to preprocessing perturbation).
TCN-GRU,0.83352,0.04746995892140627,0.8480263157894736,0.09371825408950218,-0.9742644868234875,0.05094062229694493,0.0977108046096567,0.08807461041639635,0.17103164922525177,TRAINING-SEED SENSITIVITY REMAINS
Multi-task TCN-GRU,0.8881599999999998,0.09013067180488561,0.855263157894737,0.13520897312213562,-0.5001438513055274,0.08957557144668406,0.1440199655702515,0.1418458423782664,0.25483131094196004,TRAINING-SEED SENSITIVITY REMAINS
DC-PSR,0.8993400000000001,0.07764813584368911,0.8625,0.12610745566365705,-0.6240886441565036,0.07668518109778444,0.1340510607850744,0.11856560631144261,0.23485014850512692,TRAINING-SEED SENSITIVITY REMAINS
HTT-Net,0.8342105263157895,0.05794517838492641,0.8342105263157895,0.05794517838492641,0.0,0.056618928496124384,0.056618928496124384,0.10613802274450532,0.10613802274450532,TRAINING-SEED SENSITIVITY REMAINS
