Method,n_seeds,Acc_mean,Acc_std,Macro-F1_mean,Macro-F1_std,M-F1_mean,M-F1_std,M-Rec_mean,M-Rec_std,Rev_mean,Rev_std,Jump_mean,Jump_std,Smooth_mean,Smooth_std
RF,5,0.9769736842105263,0.0023260091486399467,0.9774310643811914,0.002246506365590577,0.9725101590985691,0.0026875811585888214,0.9596899224806201,0.008491822596979335,5.2,0.4472135954999579,0.0,0.0,0.11293069306930689,0.003716510867397125
TCN-GRU,5,0.8480263157894736,0.09371825408950218,0.8495156012208118,0.0977108046096567,0.7639658190387164,0.17103164922525177,0.6527131782945735,0.2400223333558458,2.8,1.0954451150103321,0.6,1.3416407864998738,0.049490171670913664,0.01201085807292693
Multi-task TCN-GRU,5,0.855263157894737,0.13520897312213562,0.8510112346265558,0.1440199655702515,0.7556437973360735,0.25483131094196004,0.6604651162790698,0.3205311528365154,2.0,2.1213203435596424,0.6,1.3416407864998738,0.03615293763577934,0.012927946464752945
DC-PSR,5,0.8625,0.12610745566365705,0.8592006579449837,0.1340510607850744,0.7738097874493366,0.23485014850512692,0.6821705426356589,0.30445483545202295,1.2,1.0954451150103324,0.2,0.44721359549995804,0.028317895476479237,0.010168650890941551
HTT-Net,5,0.8342105263157895,0.05794517838492641,0.8350007913652464,0.056618928496124384,0.7698522487396875,0.10613802274450532,0.7007751937984497,0.2120548267885668,2.0,1.224744871391589,0.6,1.3416407864998738,0.04147370196878904,0.014095004137974602
