dataset,task_scope,delta_Acc,delta_M_F1,Smooth_benefit,Jump_benefit,absolute_source,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
MILLING_CROSS_MACHINE,D1-M,0.03346704871060169,0.09103951485185646,0.012675013015510536,9.6,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,MILLING_CROSS_MACHINE,D1-M,CROSS_DATASET_COMPARATIVE,derived_cross_dataset,source_specific,see_source,see_source_path,paper_data/04_cross_dataset/cross_machine_task_deltas.csv,DERIVED
MILLING_CROSS_MACHINE,"D1-M,D2-M,D3-M",-0.029780098755742723,0.10043853075179571,0.00965353629800118,12.866666666666667,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,MILLING_CROSS_MACHINE,"D1-M,D2-M,D3-M",CROSS_DATASET_COMPARATIVE,derived_cross_dataset,source_specific,see_source,see_source_path,paper_data/04_cross_dataset/cross_machine_task_deltas.csv,DERIVED
MILLING_CROSS_MACHINE,D2-M,-0.11414031261359514,0.14048202025929246,0.0070944705118118,0.8,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,MILLING_CROSS_MACHINE,D2-M,CROSS_DATASET_COMPARATIVE,derived_cross_dataset,source_specific,see_source,see_source_path,paper_data/04_cross_dataset/cross_machine_task_deltas.csv,DERIVED
MILLING_CROSS_MACHINE,D3-M,-0.008667032364234828,0.06979405714423806,0.0091911253666812,28.199999999999996,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,MILLING_CROSS_MACHINE,D3-M,CROSS_DATASET_COMPARATIVE,derived_cross_dataset,source_specific,see_source,see_source_path,paper_data/04_cross_dataset/cross_machine_task_deltas.csv,DERIVED
