dataset_id,task_id,protocol_id,method_id,method_name,configuration_id,seed,aggregation_level,uncertainty_type,n_test,source_path,source_sha256,status,notes,Acc,Acc_ci_high,Acc_ci_low,Acc_std,Jump,Jump_std,M-F1,M-Rec,M_F1,M_F1_ci_high,M_F1_ci_low,M_F1_std,M_Rec,M_Rec_ci_high,M_Rec_ci_low,M_Rec_std,M_Recall,M_to_E,M_to_L,Macro-F1,MacroF1,MacroF1_ci_high,MacroF1_ci_low,MacroF1_std,M→E,M→L,Rev,Smooth,Smooth_std
PHM2010,D1,PHM_D1_COMMON_304,mtf_avitk,MTF-AViTK,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.9703947368421053,0.993421052631579,0.9375,,,,,,0.9657794676806084,0.9931995617038761,0.9135802469135802,,0.9844961240310077,1.0,0.9532673773364486,,,,,,0.9713382539327519,0.9933389274247819,0.937952239424025,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,mtf_avitk,MTF-AViTK,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.015503875968992128,0.0,,,,,,,,8,0.19011765882472606,
PHM2010,D1,PHM_D1_COMMON_304,dynamic_gin_tgp,Dynamic GIN + TGP,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.8026315789473685,0.9177631578947368,0.6480263157894737,,,,,,0.7560975609756098,0.9008379739651685,0.5341582387564632,,0.7209302325581395,0.9295836422041017,0.4690250228867867,,,,,,0.8092427461877002,0.9168241362851498,0.638937132651509,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,dynamic_gin_tgp,Dynamic GIN + TGP,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.2790697674418583,0.0,,,,,,,,7,0.08542534166666667,
PHM2010,D1,PHM_D1_COMMON_304,dp2net_adapted,DP2Net-adapted,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.9046052631578947,0.9835526315789473,0.7927631578947368,,,,,,0.896797153024911,0.9833887043189369,0.7562889671997831,,0.9767441860465116,1.0,0.9208478615880302,,,,,,0.9000776159216511,0.9838389200987719,0.7629604069280153,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,dp2net_adapted,DP2Net-adapted,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.0,0.02325581395348819,,,,,,,,4,0.05341049988913365,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,rf,RF,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.8980263157894737,,,,0,,,,0.8724279835390947,,,,,,,,0.803030303030303,0.1969696969696955,0.0,,0.9030558663001741,,,,,,2,0.07158415841584159,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,tcn_gru,TCN-GRU,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.569078947368421,,,,5,,,,0.015037593984962407,,,,,,,,0.007575757575757576,0.8409090909090846,0.15151515151515038,,0.5050491050976135,,,,,,3,0.004917010594059408,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,multitask_tcn_gru,Multi-task TCN-GRU,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.7993421052631579,,,,0,,,,0.7136150234741784,,,,,,,,0.5757575757575758,0.42424242424242103,0.0,,0.811458419130769,,,,,,0,0.013134642344224422,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,dc_psr,DC-PSR,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.7960526315789473,,,,0,,,,0.7075471698113207,,,,,,,,0.5681818181818182,0.43181818181817855,0.0,,0.8083246901320387,,,,,,0,0.012266389141166468,
