stage,epoch,train_loss,train_acc,val_acc,time_s,l_g,l_task
pretrain,0,0.27894740031352117,0.9052579365079365,1.0,30.435970783233643,,
pretrain,1,0.1618356965482235,0.9350198412698413,1.0,8.107194662094116,,
pretrain,2,0.15224616259099946,0.9412202380952381,1.0,8.131826162338257,,
pretrain,3,0.1587824004273566,0.9404761904761905,1.0,7.916035890579224,,
pretrain,4,0.14012832815448442,0.9432043650793651,1.0,7.983531951904297,,
pretrain,5,0.12262605860947616,0.9526289682539683,1.0,7.9954657554626465,,
pretrain,6,0.12053482825793917,0.9526289682539683,1.0,7.866914510726929,,
pretrain,7,0.10065223616621798,0.9605654761904762,1.0,7.901429176330566,,
pretrain,8,0.1002285164736566,0.9590773809523809,1.0,7.709163188934326,,
pretrain,9,0.10049521110005795,0.9593253968253969,1.0,6.140312194824219,,
pretrain,10,0.08964726531375496,0.9642857142857143,1.0,6.009672164916992,,
pretrain,11,0.07986919357190056,0.9642857142857143,1.0,6.152223825454712,,
pretrain,12,0.07988387602011836,0.9689980158730159,1.0,6.258227348327637,,
pretrain,13,0.07541687612140936,0.9685019841269841,1.0,6.2460103034973145,,
pretrain,14,0.07227989989850256,0.9692460317460317,1.0,6.2103564739227295,,
pretrain,15,0.0673311496863053,0.9689980158730159,1.0,6.173176527023315,,
pretrain,16,0.05602120894879576,0.9786706349206349,1.0,6.180793762207031,,
pretrain,17,0.06686005380655093,0.9737103174603174,1.0,5.955854415893555,,
pretrain,18,0.05346956535700768,0.9784226190476191,1.0,6.563153028488159,,
pretrain,19,0.05797444289875409,0.9759424603174603,1.0,6.809266090393066,,
pretrain,20,0.05131434111870707,0.9796626984126984,1.0,7.372801780700684,,
pretrain,21,0.05758804734057141,0.9796626984126984,1.0,7.5471272468566895,,
pretrain,22,0.04899657952288786,0.9821428571428571,1.0,7.53708291053772,,
pretrain,23,0.05892626570153331,0.9759424603174603,1.0,6.455541610717773,,
pretrain,24,0.05002954628850732,0.9801587301587301,1.0,6.640034198760986,,
pretrain,25,0.0640186443481417,0.972718253968254,1.0,7.42633318901062,,
pretrain,26,0.06143648591306475,0.9739583333333334,1.0,6.925692081451416,,
pretrain,27,0.06266304608138781,0.9751984126984127,1.0,8.302658557891846,,
pretrain,28,0.0671716332287779,0.9734623015873016,1.0,7.287460565567017,,
pretrain,29,0.07274810112791047,0.9699900793650794,1.0,7.021282911300659,,
pretrain,30,0.06724957976165036,0.9744543650793651,1.0,8.456249237060547,,
pretrain,31,0.07179684737431151,0.9729662698412699,1.0,7.550653696060181,,
pretrain,32,0.07112575034123092,0.9712301587301587,1.0,6.292995452880859,,
pretrain,33,0.07496844551392964,0.9685019841269841,1.0,6.134652853012085,,
pretrain,34,0.06327662419616467,0.9744543650793651,1.0,6.138446569442749,,
pretrain,35,0.0875596816370648,0.9655257936507936,1.0,5.824522256851196,,
pretrain,36,0.08658027517357988,0.9714781746031746,1.0,5.985418081283569,,
pretrain,37,0.07396455896308735,0.9712301587301587,1.0,6.89105486869812,,
pretrain,38,0.08070274785397545,0.9665178571428571,1.0,5.202778339385986,,
pretrain,39,0.05555043040612151,0.9794146825396826,1.0,4.575819492340088,,
pretrain,40,0.0669045746252532,0.9744543650793651,1.0,2.9701626300811768,,
pretrain,41,0.05909480181123529,0.9784226190476191,1.0,3.3573458194732666,,
pretrain,42,0.060376667439760195,0.9781746031746031,1.0,3.8218793869018555,,
pretrain,43,0.07953221801786668,0.9670138888888888,1.0,3.924259901046753,,
pretrain,44,0.05772520462790179,0.9766865079365079,1.0,3.048579454421997,,
pretrain,45,0.06385059628103461,0.9739583333333334,1.0,3.9302515983581543,,
pretrain,46,0.060053251994152866,0.9784226190476191,1.0,3.173532724380493,,
pretrain,47,0.04133508558983782,0.9833829365079365,1.0,3.4240145683288574,,
