source_path,exists,git_tracked,data_level,status,reason,canonical_targets
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B1.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B1.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B10.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B10.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B11B12.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B11B12.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B2.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B2.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B3.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B3.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B4.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B4.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B5.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B5.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B6.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B6.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B7.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B7.csv
experiments_mendeley/04_overall_comparison/predictions/D2-M_seed42_predictions_test_B8.csv,true,false,prediction_level,AUTHORITATIVE,selected by source priority,paper_data/03_MENDELEY_CROSS_MACHINE/generalization/predictions/D2-M_seed42_predictions_test_B8.csv
