epoch,train_loss,train_acc,val_run_level_acc,time_s,lr
0,0.8967828475057132,0.5501984126984127,0.9920634920634921,182.84649991989136,0.0001
1,0.7184620345159183,0.6938492063492063,1.0,169.40074181556702,0.0001
2,0.6738746942627052,0.7142857142857143,0.9920634920634921,170.7465991973877,0.0001
3,0.6229044174627653,0.7422619047619048,0.8253968253968254,172.29843163490295,0.0001
4,0.5908618269813439,0.7575396825396825,0.8809523809523809,168.33818936347961,0.0001
5,0.5364091268134495,0.8025793650793651,0.9841269841269841,171.53006792068481,0.0001
6,0.4795346622133539,0.8422619047619048,0.8492063492063492,172.25507068634033,0.0001
7,0.4086119853433162,0.8700396825396826,0.9920634920634921,171.74577021598816,0.0001
8,0.38902835277692666,0.8779761904761905,0.9920634920634921,167.14213633537292,0.0001
9,0.37652363055163907,0.8863095238095238,0.9920634920634921,167.44032454490662,0.0001
10,0.37432462266749805,0.8882936507936507,1.0,170.62216091156006,0.0001
11,0.35020933336327,0.8988095238095238,0.9682539682539683,169.91662788391113,0.0001
12,0.3459524182809724,0.8922619047619048,0.9920634920634921,170.81347560882568,5e-05
13,0.2659748551480117,0.925,1.0,172.65694427490234,5e-05
14,0.2563781604821247,0.9232142857142858,1.0,171.63454341888428,5e-05
15,0.24311525603785875,0.9303571428571429,1.0,167.18485832214355,5e-05
16,0.21683341858405916,0.9408730158730159,0.8809523809523809,169.04197120666504,5e-05
