method,train_windows,val_windows,test_windows,input_dim,selected_features,train_early,train_middle,train_late,best_epoch,best_val_acc,best_val_macro_f1,best_val_MRec,test_acc,test_macro_f1,test_MF1
B10,416,60,304,45,45,125,173,118,39,1.0,1.0,1.0,0.8059,0.8067,0.7122
B11,416,60,304,45,45,125,173,118,8,1.0,1.0,1.0,0.8059,0.8049,0.7035
