bootstrap_id,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L
0,0.805921052631579,0.7881050787154074,0.9153846153846154,0.7230046948356808,0.725925925925926,0.8369565217391305,0.6363636363636364,0.09090909090909016,0.2727272727272705
1,0.868421052631579,0.8556558286396996,0.819047619047619,0.8303571428571429,0.9175627240143369,0.8378378378378378,0.8230088495575221,0.03539823008849526,0.14159292035398105
2,0.875,0.8702240345947164,0.8421052631578947,0.8723404255319149,0.8962264150943396,0.917910447761194,0.831081081081081,0.05405405405405369,0.1148648648648641
3,0.8486842105263158,0.8496030643751121,0.8905109489051095,0.8534201954397395,0.8048780487804879,0.9424460431654677,0.7797619047619048,0.06547619047619009,0.15476190476190385
4,0.7993421052631579,0.8034833357803554,0.8201438848920863,0.7510204081632653,0.8392857142857143,0.8214285714285714,0.6917293233082706,0.06766917293233032,0.2406015037593967
5,0.8519736842105263,0.8493657882724474,0.9222222222222223,0.7513812154696132,0.8744939271255061,0.85,0.6732673267326733,0.05940594059405882,0.2673267326732647
6,0.8125,0.8168855597170204,0.9555555555555556,0.776,0.7191011235955056,0.941747572815534,0.6598639455782312,0.03401360544217664,0.3061224489795898
7,0.8125,0.8133466800133466,0.9333333333333333,0.6918918918918919,0.8148148148148148,0.8888888888888888,0.5663716814159292,0.07079646017699052,0.36283185840707644
8,0.7368421052631579,0.7481669804114149,0.78125,0.7315436241610739,0.7317073170731707,0.9083333333333333,0.6123595505617978,0.0505617977528087,0.33707865168539136
9,0.8717105263157895,0.8808353909465021,0.928,0.8395061728395061,0.875,0.9532710280373832,0.75,0.05147058823529374,0.19852941176470443
10,0.8585526315789473,0.8491829583783607,0.9102564102564102,0.7407407407407407,0.896551724137931,0.8955223880597015,0.631578947368421,0.12631578947368288,0.24210526315789221
11,0.8585526315789473,0.8556441287942343,0.8429752066115702,0.8634920634920635,0.8604651162790697,0.9315068493150684,0.8047337278106509,0.08284023668639004,0.11242603550295792
12,0.8486842105263158,0.8195565827769218,0.7045454545454546,0.847457627118644,0.9066666666666666,0.9057971014492754,0.7961783439490446,0.10828025477706937,0.09554140127388475
13,0.8552631578947368,0.8589924819433016,0.9180327868852459,0.8018018018018018,0.8571428571428571,0.9468085106382979,0.6953125,0.11718749999999908,0.18749999999999856
14,0.7763157894736842,0.7891317152920528,0.8987341772151899,0.7094017094017094,0.7592592592592593,0.8829787234042553,0.5928571428571429,0.04999999999999964,0.3571428571428546
15,0.7861842105263158,0.7931925368359504,0.8344370860927153,0.7575757575757576,0.7875647668393783,0.8928571428571429,0.6578947368421053,0.09868421052631514,0.24342105263157734
16,0.7861842105263158,0.7984850463628052,0.8421052631578947,0.7670250896057348,0.7863247863247863,0.9067796610169492,0.6645962732919255,0.0683229813664592,0.26708074534161325
17,0.8289473684210527,0.8284816744498058,0.8807339449541285,0.7935222672064778,0.8111888111888111,0.8521739130434782,0.7424242424242424,0.06818181818181766,0.18939393939393798
18,0.9046052631578947,0.8780226870819204,0.926829268292683,0.7521367521367521,0.9551020408163265,0.6984126984126984,0.8148148148148148,0.03703703703703635,0.1481481481481454
19,0.819078947368421,0.8179040179040179,0.9128205128205128,0.7876447876447876,0.7532467532467533,0.9026548672566371,0.6986301369863014,0.06849315068493105,0.23287671232876553
20,0.8651315789473685,0.8628009080862208,0.926829268292683,0.783068783068783,0.8785046728971962,0.8705882352941177,0.7115384615384616,0.07692307692307619,0.2115384615384595
21,0.8026315789473685,0.7961802416769039,0.9497716894977168,0.6875,0.751269035532995,0.868421052631579,0.5689655172413793,0.06034482758620638,0.3706896551724106
22,0.8388157894736842,0.8438120336597983,0.9171270718232044,0.7860262008733624,0.8282828282828283,0.9473684210526315,0.6716417910447762,0.10447761194029773,0.22388059701492372
23,0.805921052631579,0.8194836939146906,0.9672131147540983,0.6703910614525139,0.8208469055374593,0.9090909090909091,0.5309734513274337,0.02654867256637145,0.44247787610619077
24,0.7532894736842105,0.771631000578369,0.9022556390977443,0.7357142857142858,0.676923076923077,0.911504424778761,0.6167664670658682,0.035928143712574634,0.3473053892215548
25,0.8223684210526315,0.8279237895546016,0.863905325443787,0.7804878048780488,0.8393782383419689,0.8347826086956521,0.732824427480916,0.07633587786259484,0.1908396946564871
26,0.7861842105263158,0.8038835168386459,0.8992248062015504,0.7509578544061303,0.7614678899082569,0.9074074074074074,0.6405228758169934,0.04575163398692781,0.3137254901960764
27,0.8388157894736842,0.8347597909867243,0.8974358974358975,0.743455497382199,0.8633879781420765,0.7802197802197802,0.71,0.0699999999999993,0.2199999999999978
28,0.7861842105263158,0.7938297101449275,0.84375,0.7217391304347827,0.816,0.7980769230769231,0.6587301587301587,0.031746031746031494,0.3095238095238071
29,0.8848684210526315,0.8924202488733032,0.9457364341085271,0.8788927335640139,0.8526315789473684,0.9136690647482014,0.8466666666666667,0.013333333333333246,0.13999999999999907
30,0.8848684210526315,0.8757760168118734,0.9482071713147411,0.8,0.8791208791208791,0.8974358974358975,0.7216494845360825,0.09278350515463822,0.18556701030927644
31,0.8289473684210527,0.8302610274441261,0.8253968253968254,0.8169014084507042,0.8484848484848485,0.8285714285714286,0.8055555555555556,0.03472222222222198,0.15972222222222113
32,0.8322368421052632,0.8259582470071818,0.8166666666666667,0.8459214501510574,0.8152866242038217,0.9459459459459459,0.7650273224043715,0.09289617486338747,0.14207650273223965
33,0.7664473684210527,0.7698178336117413,0.7716535433070866,0.7436823104693141,0.7941176470588235,0.762962962962963,0.7253521126760564,0.021126760563380132,0.2535211267605616
34,0.7664473684210527,0.7630580532134936,0.9222797927461139,0.7258687258687259,0.6410256410256411,0.912621359223301,0.6025641025641025,0.051282051282050954,0.3461538461538439
35,0.8322368421052632,0.83972151848532,0.9240506329113924,0.7582938388625592,0.8368200836820083,0.9302325581395349,0.64,0.07199999999999943,0.2879999999999977
