Configuration,ID,n,Acc_recomputed,MacroF1_recomputed,E_F1,M_F1_recomputed,L_F1,M_Precision,M_Recall_recomputed
Temperature-scaled raw stage head,A1,304,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.988235294117647,1.0,1.0,0.9767441860465116
Raw plus fine-state stage probability,A2,304,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.988235294117647,1.0,1.0,0.9767441860465116
Raw plus q-hat degradation-position prior,A3,304,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.988235294117647,1.0,1.0,0.9767441860465116
Raw plus weighted fine/prior mixture,A4,304,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.988235294117647,1.0,1.0,0.9767441860465116
Causal ordered filter applied to A4 mix,A5,304,0.9769736842105263,0.9775120581308953,0.9710982658959537,0.9725490196078431,0.9888888888888888,0.9841269841269841,0.9612403100775194
Final blend of A4 mix and A5 ordered output,A6,304,0.9868421052631579,0.9871020928241414,0.9824561403508771,0.9843749999999999,0.994475138121547,0.9921259842519685,0.9767441860465116
