Method,Acc,Acc_CI_low,Acc_CI_high,MacroF1,MacroF1_CI_low,MacroF1_CI_high,M_F1,M_F1_CI_low,M_F1_CI_high,M_Rec,M_Rec_CI_low,M_Rec_CI_high,M_to_E,M_to_L,Rev,Jump,Smooth,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
Multi-task TCN-GRU,0.9901315789473685,0.9671052631578947,1.0,0.9902304781561747,0.9655697414013222,1.0,0.9882352941176471,0.9589015443024985,1.0,0.9767441860465116,0.9210478985232866,1.0,0.02325581395348819,0.0,0,0,0.023590099009900993,PHM2010,D1,PHM_D1_COMMON_304,method_point_with_bootstrap_ci,moving_block_bootstrap_95CI,304,run_id_12_315_common_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,DERIVED
DC-PSR,0.9868421052631579,0.9638157894736842,1.0,0.9871020928241414,0.9614595332226533,1.0,0.984375,0.9539742072230787,1.0,0.9767441860465116,0.9210478985232866,1.0,0.02325581395348819,0.0,0,0,0.018762706270627056,PHM2010,D1,PHM_D1_COMMON_304,method_point_with_bootstrap_ci,moving_block_bootstrap_95CI,304,run_id_12_315_common_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,DERIVED
