metric,point_estimate,bootstrap_mean,bootstrap_std,ci_2.5,ci_97.5,n_bootstrap,block_length
Acc,0.8026315789473685,0.7932486842105263,0.06878333214988676,0.6480263157894737,0.9177631578947368,5000,12
MacroF1,0.8092427461877002,0.7896831724506462,0.07123463132192688,0.638937132651509,0.9168241362851498,5000,12
E_F1,0.8235294117647058,0.8009535471691195,0.10492271714033025,0.5538461538461539,0.96,5000,12
M_F1,0.7560975609756098,0.745743862748586,0.09348792272000137,0.5341582387564632,0.9008379739651685,5000,12
L_F1,0.8481012658227848,0.822352107434233,0.11188299087090577,0.5586462258022606,0.9953605137686093,5000,12
M_Precision,0.7948717948717948,0.791681143540183,0.11596307212460892,0.5411605723370428,0.9920634920634921,5000,12
M_Recall,0.7209302325581395,0.717915399791188,0.11687112693037825,0.4690250228867867,0.9295836422041017,5000,12
M_to_E,0.2790697674418583,0.28208460020880977,0.11687112693037728,0.0704163577958977,0.5309749771132086,5000,12
M_to_L,0.0,0.0,0.0,0.0,0.0,5000,12
