dataset,channel_set,group,task,Method,Acc_mean,Acc_std_seed,Acc_n_seeds,Macro_F1_mean,Macro_F1_std_seed,Macro_F1_n_seeds,E_F1_mean,E_F1_std_seed,E_F1_n_seeds,M_F1_mean,M_F1_std_seed,M_F1_n_seeds,L_F1_mean,L_F1_std_seed,L_F1_n_seeds,M_Pre_mean,M_Pre_std_seed,M_Pre_n_seeds,M_Rec_mean,M_Rec_std_seed,M_Rec_n_seeds,M_to_E_mean,M_to_E_std_seed,M_to_E_n_seeds,M_to_L_mean,M_to_L_std_seed,M_to_L_n_seeds,Rev_mean,Rev_std_seed,Rev_n_seeds,Jump_mean,Jump_std_seed,Jump_n_seeds,Smooth_mean,Smooth_std_seed,Smooth_n_seeds,q_MAE_mean,q_MAE_std_seed,q_MAE_n_seeds,q_RMSE_mean,q_RMSE_std_seed,q_RMSE_n_seeds,q_R2_mean,q_R2_std_seed,q_R2_n_seeds,Spearman_mean,Spearman_std_seed,Spearman_n_seeds,Pearson_mean,Pearson_std_seed,Pearson_n_seeds,q_Smooth_mean,q_Smooth_std_seed,q_Smooth_n_seeds,deterministic
mendeley,primary,cross_machine_dual,D1-M,B11,0.40607449856733524,0.08463603311432556,5,0.3413682489941162,0.11470007573005776,5,0.6116930186893482,0.10570314243735883,5,0.2515455928883603,0.1527695778081427,5,0.16086613540463995,0.19131704803633193,5,0.3018939779861785,0.14161797656181876,5,0.23165905631659056,0.18957686023420262,5,0.6621004566210045,0.23089857314649373,5,0.10624048706240488,0.1304255037387683,5,20.6,13.594116374373144,5,11.2,9.549869109050658,5,0.04394484953908492,0.025358036613156033,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False
mendeley,primary,cross_machine_dual,D1-M,B12,0.43954154727793693,0.08988278816462159,5,0.381593000669353,0.1180418557424851,5,0.6533584818012855,0.1176564572050477,5,0.3425851077402168,0.1438166584287052,5,0.14883541246655663,0.17874679623176074,5,0.3589750871000128,0.12464269665006401,5,0.3476407914764079,0.20640077569339393,5,0.5646879756468797,0.25015025057591767,5,0.08767123287671233,0.10505922207182895,5,13.6,10.4546640309481,5,1.6,1.140175425099138,5,0.03126983652357438,0.020577918861516477,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False
mendeley,primary,cross_machine_dual,D2-M,B11,0.6791712104689205,0.12246385161661177,5,0.6623558775295,0.13079128559121314,5,0.833213592366796,0.09470412559807108,5,0.5192282762638224,0.3275485187340991,5,0.6346257639578815,0.11853721612318033,5,0.5984961996773714,0.3532712864423598,5,0.5395759717314488,0.43496792566269155,5,0.1489399293286219,0.2567995523045241,5,0.31148409893992934,0.43936869140020857,5,26.4,16.102794788483145,5,0.8,1.7888543819998317,5,0.01648786360332858,0.007632302966068828,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False
mendeley,primary,cross_machine_dual,D2-M,B12,0.5650308978553253,0.13016231484307625,5,0.42250334121963473,0.18570013860993806,5,0.5647842060714876,0.4413464825316372,5,0.6597102965231149,0.06634310520280744,5,0.04301552106430154,0.09618562918735234,5,0.49510888726523444,0.07309983133120257,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1.8,3.492849839314596,5,0.0,0.0,5,0.00939339309151678,0.00617205772436084,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False
mendeley,primary,cross_machine_dual,D3-M,B11,0.47043335161821176,0.0974442841296177,5,0.3925975078394375,0.11336034829460943,5,0.6986338815046949,0.13352897500657038,5,0.1335153460866274,0.26300496442747634,5,0.3456432959269902,0.2829289647399737,5,0.3522749715204657,0.30966301955275705,5,0.1355006501950585,0.28413806749314585,5,0.3068920676202861,0.2664562496356165,5,0.5576072821846554,0.4077924715506516,5,26.6,6.3482280992415525,5,34.8,29.886451780029024,5,0.06062721799652622,0.010159357583012134,5,0.18949653201005567,0.04083154411721454,5,0.24277667023279972,0.04333924786628431,5,-0.5641073601829465,0.5464498078965635,5,0.5550908129351029,0.08644869039293165,5,0.43706114417713476,0.23277854439890044,5,0.01375601991847318,0.00524424899518277,5,False
mendeley,primary,cross_machine_dual,D3-M,B12,0.46176631925397693,0.08632714995032272,5,0.3890579530017517,0.12004077301131953,5,0.61766683966259,0.23407317111458859,5,0.20330940323086547,0.23314276796106365,5,0.3461976161117998,0.285029002342412,5,0.4371981965060166,0.19719314989030912,5,0.24655396618985695,0.4218845137083789,5,0.19505851755526654,0.2756689031557591,5,0.5583875162548765,0.4043027686348065,5,22.6,14.501724035437993,5,6.6,9.289779329994873,5,0.05143609262984502,0.016543096323176455,5,0.18949653201005567,0.04083154411721454,5,0.24277667023279972,0.04333924786628431,5,-0.5641073601829465,0.5464498078965635,5,0.5550908129351029,0.08644869039293165,5,0.43706114417713476,0.23277854439890044,5,0.01375601991847318,0.00524424899518277,5,False
