Task,dAcc_pp,dM_F1_pp,dM_Rec_pp,Smooth_benefit_pct
D1,-0.3289473684210398,-0.38602941176472116,0.0,20.463639161700062
D2,-0.3289473684210509,-0.606785366285767,-0.7575757575757569,6.610406132906918
D3,0.6578947368421018,1.1043153244988058,1.8018018018018056,-5.719837212279128
