Method,Label,precision,recall,f1-score,support
B1,early,1.0,0.2976,0.4587,84.0
B1,middle,0.5755,0.6202,0.597,129.0
B1,late,0.65,1.0,0.7879,91.0
B1,accuracy,,,0.6447,304.0
B1,macro avg,0.7418,0.6393,0.6145,304.0
B1,weighted avg,0.7151,0.6447,0.6159,304.0
B2,early,0.5793,1.0,0.7336,84.0
B2,middle,0.0,0.0,0.0,129.0
B2,late,0.5723,1.0,0.728,91.0
B2,accuracy,,,0.5757,304.0
B2,macro avg,0.3839,0.6667,0.4872,304.0
B2,weighted avg,0.3314,0.5757,0.4206,304.0
B3,early,0.9333,1.0,0.9655,84.0
B3,middle,0.984,0.9535,0.9685,129.0
B3,late,1.0,0.978,0.9889,91.0
B3,accuracy,,,0.9737,304.0
B3,macro avg,0.9724,0.9772,0.9743,304.0
B3,weighted avg,0.9748,0.9737,0.9738,304.0
B4,early,0.7885,0.9762,0.8723,84.0
B4,middle,0.8492,0.8295,0.8392,129.0
B4,late,1.0,0.8132,0.897,91.0
B4,accuracy,,,0.8651,304.0
B4,macro avg,0.8792,0.8729,0.8695,304.0
B4,weighted avg,0.8776,0.8651,0.8657,304.0
B5,early,0.954,0.9881,0.9708,84.0
B5,middle,0.9919,0.9535,0.9723,129.0
B5,late,0.9785,1.0,0.9891,91.0
B5,accuracy,,,0.977,304.0
B5,macro avg,0.9748,0.9805,0.9774,304.0
B5,weighted avg,0.9774,0.977,0.9769,304.0
B6,early,0.9231,0.7143,0.8054,84.0
B6,middle,0.7949,0.9612,0.8702,129.0
B6,late,1.0,0.9121,0.954,91.0
B6,accuracy,,,0.8783,304.0
B6,macro avg,0.906,0.8625,0.8765,304.0
B6,weighted avg,0.8917,0.8783,0.8774,304.0
B7,early,0.9438,1.0,0.9711,84.0
B7,middle,0.886,0.7829,0.8313,129.0
B7,late,0.7723,0.8571,0.8125,91.0
B7,accuracy,,,0.8651,304.0
B7,macro avg,0.8674,0.88,0.8716,304.0
B7,weighted avg,0.8679,0.8651,0.8643,304.0
B8,early,0.8077,1.0,0.8936,84.0
B8,middle,0.9808,0.7907,0.8755,129.0
B8,late,0.9271,0.978,0.9519,91.0
B8,accuracy,,,0.9046,304.0
B8,macro avg,0.9052,0.9229,0.907,304.0
B8,weighted avg,0.9169,0.9046,0.9034,304.0
B9,early,0.9655,1.0,0.9825,84.0
B9,middle,1.0,0.8837,0.9383,129.0
B9,late,0.8835,1.0,0.9381,91.0
B9,accuracy,,,0.9507,304.0
B9,macro avg,0.9497,0.9612,0.953,304.0
B9,weighted avg,0.9556,0.9507,0.9504,304.0
B10,early,0.9438,1.0,0.9711,84.0
B10,middle,1.0,0.5969,0.7476,129.0
B10,late,0.6594,1.0,0.7948,91.0
B10,accuracy,,,0.8289,304.0
B10,macro avg,0.8677,0.8656,0.8378,304.0
B10,weighted avg,0.8825,0.8289,0.8235,304.0
B11,early,0.9333,1.0,0.9655,84.0
B11,middle,0.9762,0.9535,0.9647,129.0
B11,late,1.0,0.967,0.9832,91.0
B11,accuracy,,,0.9704,304.0
B11,macro avg,0.9698,0.9735,0.9712,304.0
B11,weighted avg,0.9715,0.9704,0.9705,304.0
B12,early,0.9333,1.0,0.9655,84.0
B12,middle,0.9685,0.9535,0.9609,129.0
B12,late,1.0,0.956,0.9775,91.0
B12,accuracy,,,0.9671,304.0
B12,macro avg,0.9673,0.9698,0.968,304.0
B12,weighted avg,0.9682,0.9671,0.9672,304.0
