Method,n_tasks,Acc_mean,Acc_std,MacroF1_mean,MacroF1_std,E_F1_mean,E_F1_std,M_F1_mean,M_F1_std,L_F1_mean,L_F1_std,M_Precision_mean,M_Precision_std,M_Recall_mean,M_Recall_std,M_to_E_mean,M_to_E_std,M_to_L_mean,M_to_L_std,Rev_mean,Rev_std,Jump_mean,Jump_std,Smooth_mean,Smooth_std
RF,3,0.9221491228070176,0.04759327722414635,0.9255577046664047,0.04496181009228809,0.893193502999305,0.06289816340021388,0.9006342854974095,0.06256062796399768,0.9828453255024995,0.011892560909028464,0.9239634796086408,0.08767677914883977,0.882803522338406,0.07563964887792722,0.10560348932441871,0.08190612286031906,0.011592988337174261,0.013916906924269,4.333333333333333,2.0816659994661326,0.0,0.0,0.09135863586358635,0.01946329122740766
TCN-GRU,3,0.7730263157894738,0.1767460872632854,0.7544589848581889,0.21604435799575264,0.7800279019837468,0.15849391362988322,0.5596541294481798,0.47168834926028724,0.9236949231426403,0.036850392436089834,0.9261439657479261,0.08204112148380764,0.5272825679802424,0.4529261039784879,0.3681583274606503,0.43010081148816703,0.10455910455910371,0.09070719083171175,1.0,1.7320508075688772,1.6666666666666667,2.8867513459481287,0.014121338673133497,0.008599853821450237
Multi-task TCN-GRU,3,0.8815789473684209,0.09807928628865507,0.8863898265459795,0.09282602314001034,0.877659900186767,0.1179026060311239,0.8327155379627073,0.14088592596402363,0.9487940414884641,0.0650335585305925,0.9191064079952969,0.09198597514556855,0.7757588455262874,0.20049511640981607,0.14916607939863638,0.23850671864776127,0.0750750750750744,0.13003384441207672,0.0,0.0,0.0,0.0,0.01675725571166466,0.00592100714510982
DC-PSR,3,0.8815789473684211,0.0969139464648437,0.8865072743524459,0.09147169568470088,0.876548789075656,0.11970906905183364,0.8330872064508684,0.14019850973226977,0.9498858275308132,0.05791996936101512,0.9173519635980082,0.08662359508629358,0.7792395990070409,0.20461810502774885,0.15169133192388887,0.24287547682801006,0.06906906906906844,0.11963113685911057,0.0,0.0,0.0,0.0,0.015116996174152865,0.003320342711649887
HTT-Net (adapted),3,0.8717105263157895,0.08302256226397348,0.8735310115437825,0.08179383659097039,0.8978242883414084,0.021981736296031524,0.8186465150377283,0.15074201409722338,0.9041222312522109,0.11682222528179523,0.8897982804232804,0.08296949599163927,0.8118583699979048,0.287743514797064,0.036175710594314965,0.06265816874926124,0.15196591940777868,0.22533096327926064,1.3333333333333333,2.3094010767585034,1.0,1.7320508075688772,0.03118520937263897,0.029249584435347736
Multi-source Attention,3,0.6020502645502646,0.2491242166158135,0.5785803045251794,0.2947413064423131,0.6483697983697984,0.3461754540713967,0.4717069915278202,0.37784604068619043,0.6156641236779196,0.18071013472691166,0.5734376283156771,0.27190361473385477,0.485053235053235,0.4034403666479516,0.03773435168783975,0.023478108246434534,0.4772124132589211,0.4215317633695189,32.0,19.974984355438178,7.666666666666667,11.590225767142472,0.42054091886440803,0.19277464097601907
MTF-AViTK,3,0.8684384572542467,0.09145056388335975,0.8703877820957687,0.08869436984071796,0.9071428972314047,0.10282555474559982,0.8302570081956864,0.12370489056449539,0.873763440860215,0.1019198300216773,0.8297719897380138,0.11579102517965935,0.8461151426267705,0.1790169010239131,0.12986083334920442,0.19589878281545567,0.024024024024023812,0.04161083021186455,9.0,1.0,0.0,0.0,0.14652318633324743,0.03903998949428837
Dynamic GIN + TGP,3,0.8929406850459483,0.08273417729293554,0.8966547414190148,0.08008292923314766,0.8983211390299748,0.07003071261511426,0.8625959006068934,0.09779281827783963,0.9290471846201758,0.07269462875807689,0.9221831182615498,0.11034090740717067,0.8112901484994509,0.09476021527189281,0.1650270778177742,0.1050977130132558,0.023682773682773495,0.02696516924529618,6.666666666666667,1.5275252316519465,0.0,0.0,0.08552468788545169,0.0002417762952185484
DP2Net-adapted,3,0.8898948760790866,0.015905960010388555,0.8913780703032556,0.013039060791028883,0.8475018674936518,0.023240786389841523,0.8607419081511608,0.03778977566528585,0.9658904352649539,0.02585860031699214,0.8686419285624133,0.11668933185979688,0.8822289519963938,0.16045030131413446,0.07070707070707018,0.12246823891901058,0.04706397729653503,0.038017772196499246,2.0,1.7320508075688772,0.0,0.0,0.03965070632029441,0.015040908426591336
