Category,Method,Acc_mean,Acc_std,Macro_F1_mean,Macro_F1_std,E_F1_mean,E_F1_std,M_F1_mean,M_F1_std,L_F1_mean,L_F1_std,M_Precision_mean,M_Precision_std,M_Recall_mean,M_Recall_std,M_to_E_mean,M_to_E_std,M_to_L_mean,M_to_L_std,Rev_mean,Rev_std,Jump_mean,Jump_std,Smooth_mean,Smooth_std,Params,Protocol_note,Reproduction_note
Generic/internal baseline,RF,0.97766,0.0027609780875624238,0.97804,0.0026482069405543013,0.96966,0.0025491174943497773,0.9732799999999999,0.003269097734849797,0.9912000000000001,0.0049477267507412,0.9873000000000001,0.0069321713769929134,0.95968,0.006478194192828729,0.03256,0.0034882660448996724,0.00778,0.00548014598345701,5.4,0.8944271909999159,0.0,0.0,0.11176,0.002955164970014362,"N/A (tree ensemble, n_estimators=400)","C1+C4->C6 (D1); windowed L=12 universe, 304 runs","internal/generic baseline, authoritative feature file"
Generic/internal baseline,TCN-GRU,0.83352,0.04746995892140627,0.83642,0.05094062229694493,0.8760600000000001,0.07302265401914668,0.7548199999999999,0.08807461041639635,0.87836,0.062134636073610354,0.9802199999999999,0.02798378101686761,0.6217,0.11875876809734935,0.19228,0.12051397014454382,0.18602000000000002,0.13279366325243086,3.0,3.1622776601683795,0.4,0.894427190999916,0.04834000000000001,0.02749678162985625,"83,619","C1+C4->C6 (D1); windowed L=12 universe, 304 runs","internal/generic baseline, authoritative feature file"
Generic/internal baseline,Multi-task TCN-GRU,0.8881599999999998,0.09013067180488561,0.8904399999999999,0.08957557144668406,0.9415600000000002,0.05793408323258424,0.83454,0.1418458423782664,0.8951600000000001,0.09189294314581505,0.9952400000000001,0.01064368357289902,0.74108,0.2179177987223623,0.08528,0.09007914297993737,0.17364,0.1672146016351443,1.2,1.3038404810405297,0.4,0.5477225575051662,0.03462,0.014166403919132056,"84,009","C1+C4->C6 (D1); windowed L=12 universe, 304 runs","internal/generic baseline, DC-PSR's direct predecessor"
Published method,HTT-Net (adapted),0.8342105263157895,0.05794517838492641,0.8350007913652464,0.056618928496124384,0.8405135086451686,0.0660298807386928,0.7698522487396875,0.10613802274450532,0.8946366167108829,0.08333628036246446,0.9118835508326587,0.09901918378139274,0.7007751937984497,0.2120548267885668,0.17054263565891342,0.12439384911535728,0.12868217054263467,0.16820097804794312,2.0,1.224744871391589,0.6,1.3416407864998738,0.0414737019687891,0.014095004137974603,"3,502,723","C1+C4->C6 (D1); SOURCE_ONLY_TUNED frozen config; windowed L=12 universe, 304 runs",adapted from original long-sequence L~=2000 regime to unified run-level protocol
Published method,Multi-source Attention,0.8063492063492064,0.01634227006505873,0.8091288560718688,0.016998781678061615,0.8602926001076648,0.031065747789965868,0.7666173561496304,0.019704994527558695,0.800476611958311,0.015036197338162626,0.8232749593701694,0.034219700541468806,0.7193798449612403,0.04188916615846915,0.11317829457364255,0.05842308118268721,0.167441860465115,0.07242982094138288,35.0,8.0,6.4,3.646916505762094,0.41818779743740686,0.06594468733780422,"12,939,050","C1+C4->C6 (D1), unified Protocol B; native run-level universe, 315 runs",paper omitted key CWT parameters; adapted reimplementation
Published method,MTF-AViTK,0.9555555555555555,0.044217105641854354,0.9558086195826834,0.044967851398945886,0.9783398249066654,0.019863383216306114,0.9493669136429826,0.045949463203946266,0.939719120198402,0.07020534176853882,0.9317745184601538,0.09165460283935954,0.9736434108527131,0.03405563199455629,0.007751937984496064,0.005481447916174745,0.01860465116279055,0.033611602152990125,7.0,4.415880433163924,0.0,0.0,0.17158041495170606,0.0340259660982771,"309,371,072","C1+C4->C6 (D1), unified Protocol B; native run-level universe, 315 runs; ViT-L/32",close original-protocol reproduction; unified protocol adapted to authoritative labels
Published method,Dynamic GIN + TGP,0.8844444444444445,0.06829456157218976,0.8868575583799709,0.0677249213934249,0.8951330291690475,0.05229694136048861,0.8401360959587028,0.10008384611775502,0.9253035500121627,0.06797669498588932,0.9385292243987896,0.0850720931462561,0.7751937984496124,0.15820412117797325,0.15968992248061892,0.1206665780218329,0.06511627906976694,0.09753281232590068,7.0,1.7320508075688772,0.0,0.0,0.09970568975171959,0.014735098672685113,"321,950","C1+C4->C6 (D1), unified Protocol B; native run-level universe, 315 runs; post-leakage-fix",high-fidelity reproduction; original D1 closely matched paper
Published method,DP2Net-adapted,0.9073015873015873,0.038055534866008885,0.909796004769996,0.03653043392885359,0.9057999980834396,0.06387530414347813,0.8835735845518636,0.050888523480874234,0.940014431674685,0.04571061200367972,0.9098663738655024,0.07726849305966427,0.868217054263566,0.0979017902350007,0.1069767441860457,0.11463960505921994,0.024806201550387406,0.043645544993051594,3.2,0.8366600265340756,0.0,0.0,0.055692850522726454,0.0049711401606209365,"60,956 total (S+G+F); 60,031 at inference (G is training-only)","C1+C4->C6 (D1), Protocol B-D1 pooled-source; native run-level universe, 315 runs",pooled-source adaptation for D1; original paper is single-source DG
Proposed,DC-PSR,0.8993400000000001,0.07764813584368911,0.9026799999999999,0.07668518109778444,0.9522999999999999,0.058491024952551485,0.8569599999999999,0.11856560631144261,0.8987999999999999,0.08084627387826852,0.9865599999999999,0.015201414407876658,0.77364,0.18736210395915182,0.0698,0.09156074486372422,0.1566,0.14631546398108436,1.0,1.0,0.2,0.44721359549995804,0.02728,0.010301310596229976,"84,009 (shares Multi-task TCN-GRU network; deterministic post-processing adds 0 learned params)","C1+C4->C6 (D1); windowed L=12 universe, 304 runs; frozen B12_PARAMS post-processing on Multi-task TCN-GRU output",proposed method (main.tex headline result)
