bootstrap_id,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L
0,0.9703947368421053,0.970220163888211,0.9774436090225563,0.9623430962343096,0.970873786407767,0.9745762711864406,0.9504132231404959,0.049586776859503724,0.0
1,0.9868421052631579,0.9841128095007196,0.9739130434782609,0.9821428571428571,0.9962825278810409,0.990990990990991,0.9734513274336283,0.02654867256637145,0.0
2,0.9703947368421053,0.9647536498977741,0.9256198347107438,0.9686411149825784,1.0,1.0,0.9391891891891891,0.060810810810810405,0.0
3,0.993421052631579,0.992875786887763,0.9846153846153847,0.9940119760479041,1.0,1.0,0.9880952380952381,0.011904761904761835,0.0
4,0.9769736842105263,0.9761927290965403,0.9605263157894737,0.9731800766283525,0.9948717948717949,0.9921875,0.9548872180451128,0.04511278195488688,0.0
5,0.9868421052631579,0.986433159617016,0.9837837837837838,0.98,0.9955156950672646,0.98989898989899,0.9702970297029703,0.02970297029702941,0.0
6,0.9901315789473685,0.9892255892255893,1.0,0.98989898989899,0.9777777777777777,0.98,1.0,0.0,0.0
7,0.993421052631579,0.993540892061088,0.9943502824858758,0.9911504424778761,0.9951219512195122,0.9911504424778761,0.9911504424778761,0.008849557522123816,0.0
8,0.9835526315789473,0.9759233765164085,0.9523809523809523,0.9859154929577465,0.9894736842105263,0.9887005649717514,0.9831460674157303,0.01685393258426957,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,0.993421052631579,0.9940767973856209,1.0,0.9895833333333334,0.9926470588235294,0.979381443298969,1.0,0.0,0.0
11,0.9736842105263158,0.9707933112479951,0.9491525423728814,0.9760479041916168,0.9871794871794872,0.9878787878787879,0.9644970414201184,0.03550295857988145,0.0
12,0.9967105263157895,0.994715627990995,0.9873417721518988,0.9968051118210862,1.0,1.0,0.9936305732484076,0.006369426751592316,0.0
13,0.9967105263157895,0.9968814895140085,1.0,0.9961089494163424,0.994535519125683,0.9922480620155039,1.0,0.0,0.0
14,0.9802631578947368,0.9806525371559229,0.963855421686747,0.9781021897810219,1.0,1.0,0.9571428571428572,0.04285714285714255,0.0
15,0.9967105263157895,0.9968106677664365,1.0,0.9967213114754099,0.9937106918238994,0.9934640522875817,1.0,0.0,0.0
16,0.9868421052631579,0.9831522749669958,0.967032967032967,0.9875,0.9949238578680203,0.9937106918238994,0.9813664596273292,0.018633540372670693,0.0
17,0.9703947368421053,0.9753597576369604,0.9613733905579399,0.9647058823529412,1.0,1.0,0.9318181818181818,0.06818181818181766,0.0
18,0.9901315789473685,0.9866739091073692,0.9885931558935361,0.9714285714285714,1.0,1.0,0.9444444444444444,0.055555555555554526,0.0
19,0.9967105263157895,0.9961523164719702,1.0,0.9965870307167235,0.991869918699187,0.9931972789115646,1.0,0.0,0.0
20,0.9868421052631579,0.986987188506817,0.9855072463768116,0.9805825242718447,0.9948717948717949,0.9901960784313726,0.9711538461538461,0.02884615384615357,0.0
21,0.9967105263157895,0.996472948776779,1.0,0.9957081545064378,0.9937106918238994,0.9914529914529915,1.0,0.0,0.0
22,0.9967105263157895,0.9968115248882222,1.0,0.9962825278810409,0.9941520467836257,0.9925925925925926,1.0,0.0,0.0
23,0.9967105263157895,0.9972544320106221,1.0,0.9955947136563876,0.9961685823754789,0.9912280701754386,1.0,0.0,0.0
24,0.9868421052631579,0.9862124621417111,0.9777777777777777,0.9879518072289156,0.9929078014184397,0.9939393939393939,0.9820359281437125,0.017964071856287317,0.0
25,0.9638157894736842,0.9651703604050725,0.9502762430939227,0.9568627450980393,0.9883720930232558,0.9838709677419355,0.9312977099236641,0.06870229007633535,0.0
26,0.9868421052631579,0.9860536650278565,0.9770992366412213,0.9868421052631579,0.9942196531791907,0.9933774834437086,0.9803921568627451,0.019607843137254773,0.0
27,0.9769736842105263,0.977989198259137,0.976,0.9641025641025641,0.9938650306748467,0.9894736842105263,0.94,0.0599999999999994,0.0
28,0.9769736842105263,0.9751283191435993,0.9583333333333334,0.97165991902834,0.9953917050691244,0.9917355371900827,0.9523809523809523,0.04761904761904724,0.0
29,0.9835526315789473,0.9826796442482717,0.9705882352941176,0.9831649831649831,0.9942857142857143,0.9931972789115646,0.9733333333333334,0.02666666666666649,0.0
30,0.9901315789473685,0.9907483336487312,0.9879518072289156,0.9842931937172775,1.0,1.0,0.9690721649484536,0.030927835051546074,0.0
31,0.9671052631578947,0.965845454203781,0.9387755102040817,0.9642857142857143,0.994475138121547,0.9926470588235294,0.9375,0.06249999999999957,0.0
32,0.9769736842105263,0.9734863474475661,0.9473684210526315,0.9806094182825484,0.9924812030075187,0.9943820224719101,0.9672131147540983,0.03278688524590146,0.0
33,0.9736842105263158,0.9736188958335926,0.9554140127388535,0.9712230215827338,0.9942196531791907,0.9926470588235294,0.9507042253521126,0.04929577464788698,0.0
34,0.9967105263157895,0.9956987913190029,1.0,0.9968051118210862,0.9902912621359223,0.9936305732484076,1.0,0.0,0.0
35,0.9901315789473685,0.9900289151538049,0.987012987012987,0.9879518072289156,0.9951219512195122,0.9919354838709677,0.984,0.015999999999999872,0.0
36,0.9901315789473685,0.9896191277183707,1.0,0.9895470383275261,0.9793103448275862,0.9793103448275862,1.0,0.0,0.0
37,0.9901315789473685,0.9871491573936154,1.0,0.9911504424778761,0.9702970297029703,0.9824561403508771,1.0,0.0,0.0
38,0.9769736842105263,0.9768486763659733,0.9594594594594594,0.9793510324483776,0.9917355371900827,0.9940119760479041,0.9651162790697675,0.034883720930232356,0.0
39,0.9901315789473685,0.9902198189726108,0.9834254143646409,0.9872340425531915,1.0,1.0,0.9747899159663865,0.025210084033613234,0.0
40,0.9901315789473685,0.9885635738831615,0.976,0.9896907216494846,1.0,1.0,0.9795918367346939,0.020408163265305986,0.0
41,0.9868421052631579,0.9854634496715106,0.975609756097561,0.9856115107913669,0.9951690821256038,0.9927536231884058,0.9785714285714285,0.021428571428571276,0.0
42,0.993421052631579,0.9922470603437136,0.9859154929577465,0.9908256880733946,1.0,1.0,0.9818181818181818,0.018181818181818018,0.0
43,0.9802631578947368,0.9799638220898065,0.9763779527559056,0.9797297297297297,0.9837837837837838,0.9797297297297297,0.9797297297297297,0.020270270270270133,0.0
44,0.9802631578947368,0.9812873603049468,0.9690721649484536,0.9747899159663865,1.0,1.0,0.9508196721311475,0.049180327868852056,0.0
45,0.9901315789473685,0.9904641613389469,0.9917355371900827,0.9890909090909091,0.9905660377358491,0.9855072463768116,0.9927007299270073,0.007299270072992648,0.0
46,0.9967105263157895,0.9966224170827752,1.0,0.996078431372549,0.9937888198757764,0.9921875,1.0,0.0,0.0
47,0.9539473684210527,0.9534408603989871,0.9527896995708155,0.9230769230769231,0.9844559585492227,0.9655172413793104,0.8842105263157894,0.11578947368420932,0.0
48,0.9736842105263158,0.9714244828400078,0.9743589743589743,0.9452054794520548,0.9947089947089947,0.9857142857142858,0.9078947368421053,0.09210526315789352,0.0
49,0.9703947368421053,0.9583442472193826,0.918918918918919,0.9679715302491103,0.9881422924901185,0.9784172661870504,0.9577464788732394,0.042253521126760264,0.0
50,0.9835526315789473,0.9743567238991871,0.9508196721311475,0.9881235154394299,0.9841269841269841,0.9904761904761905,0.985781990521327,0.01421800947867292,0.0
51,0.9901315789473685,0.9914637833223666,0.9852216748768473,0.9891696750902527,1.0,1.0,0.9785714285714285,0.021428571428571276,0.0
52,0.9835526315789473,0.981891746597629,0.9673202614379085,0.9783549783549783,1.0,1.0,0.9576271186440678,0.04237288135593185,0.0
53,0.9605263157894737,0.9614373901586323,0.9371428571428572,0.952755905511811,0.994413407821229,0.9918032786885246,0.9166666666666666,0.0833333333333327,0.0
54,0.9802631578947368,0.9798695508165812,0.9659863945578231,0.9831460674157303,0.9904761904761905,0.9943181818181818,0.9722222222222222,0.027777777777777624,0.0
55,0.9736842105263158,0.9725902457757297,0.9758064516129032,0.9523809523809523,0.9895833333333334,0.975609756097561,0.9302325581395349,0.06976744186046431,0.0
56,0.993421052631579,0.9921952603944941,1.0,0.9938271604938271,0.9827586206896551,0.9877300613496932,1.0,0.0,0.0
57,0.9967105263157895,0.9969681309216192,1.0,0.9953488372093023,0.9955555555555555,0.9907407407407407,1.0,0.0,0.0
58,0.9835526315789473,0.9834616687033465,0.9806451612903225,0.9840255591054313,0.9857142857142858,0.9871794871794872,0.9808917197452229,0.019108280254776948,0.0
59,0.9868421052631579,0.9869764004742234,0.9811320754716981,0.9857142857142858,0.9940828402366864,0.9928057553956835,0.9787234042553191,0.0212765957446807,0.0
60,0.9671052631578947,0.9688019434854879,0.9367088607594937,0.9696969696969697,1.0,1.0,0.9411764705882353,0.058823529411764365,0.0
61,0.9802631578947368,0.9804997594017326,0.9832402234636871,0.9724770642201835,0.985781990521327,0.9724770642201835,0.9724770642201835,0.027522935779816262,0.0
62,0.9802631578947368,0.9799996725619163,0.9774436090225563,0.9805194805194806,0.9820359281437125,0.9805194805194806,0.9805194805194806,0.019480519480519355,0.0
63,0.9901315789473685,0.9901901853766439,0.9856459330143541,0.9849246231155779,1.0,1.0,0.9702970297029703,0.02970297029702941,0.0
64,0.993421052631579,0.9936886395511921,1.0,0.9919354838709677,0.9891304347826086,0.984,1.0,0.0,0.0
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
66,0.9967105263157895,0.9971624772503939,1.0,0.9965635738831615,0.9949238578680203,0.9931506849315068,1.0,0.0,0.0
67,0.9736842105263158,0.9716735207532753,0.9523809523809523,0.9754601226993865,0.9871794871794872,0.9875776397515528,0.9636363636363636,0.03636363636363615,0.0
68,0.9901315789473685,0.9899172758312519,0.9801324503311258,0.9896193771626297,1.0,1.0,0.9794520547945206,0.020547945205479312,0.0
69,0.9605263157894737,0.9667465794469544,0.959409594095941,0.9534883720930233,0.9873417721518988,0.9919354838709677,0.917910447761194,0.08208955223880536,0.0
70,0.9769736842105263,0.9739865477570394,0.9508196721311475,0.9764309764309764,0.9947089947089947,0.9931506849315068,0.9602649006622517,0.03973509933774808,0.0
71,0.9868421052631579,0.9855960591133005,0.976,0.9857142857142858,0.9950738916256158,0.9928057553956835,0.9787234042553191,0.0212765957446807,0.0
72,0.9736842105263158,0.977262137731805,0.9591836734693877,0.9726027397260274,1.0,1.0,0.9466666666666667,0.05333333333333298,0.0
73,0.9967105263157895,0.9963874943554599,1.0,0.9962546816479401,0.9929078014184397,0.9925373134328358,1.0,0.0,0.0
74,0.9967105263157895,0.9963456172232649,0.9940119760479041,0.9950248756218906,1.0,1.0,0.9900990099009901,0.009900990099009804,0.0
75,0.993421052631579,0.9932539682539683,1.0,0.9916666666666667,0.9880952380952381,0.9834710743801653,1.0,0.0,0.0
76,0.9967105263157895,0.9965547671996893,1.0,0.9971830985915493,0.9924812030075187,0.9943820224719101,1.0,0.0,0.0
77,0.9835526315789473,0.983832693024774,0.9871244635193133,0.9790794979079498,0.9852941176470589,0.9831932773109243,0.975,0.024999999999999793,0.0
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
79,0.9769736842105263,0.9768908828210598,0.9634146341463414,0.9725490196078431,0.9947089947089947,0.992,0.9538461538461539,0.0461538461538458,0.0
80,0.9703947368421053,0.9719571567672833,0.9620253164556962,0.9538461538461539,1.0,1.0,0.9117647058823529,0.0882352941176462,0.0
81,0.9769736842105263,0.9784415372521099,0.9722222222222222,0.9691629955947136,0.9939393939393939,0.990990990990991,0.9482758620689655,0.05172413793103404,0.0
82,0.993421052631579,0.9923305531588534,1.0,0.994535519125683,0.9824561403508771,0.9891304347826086,1.0,0.0,0.0
83,0.9769736842105263,0.9808739956888105,0.9714285714285714,0.9711934156378601,1.0,1.0,0.944,0.05599999999999956,0.0
84,0.9835526315789473,0.9791562399038418,0.9834254143646409,0.9863013698630136,0.967741935483871,0.989010989010989,0.9836065573770492,0.01639344262295073,0.0
85,0.9967105263157895,0.9956932518640144,1.0,0.9973890339425587,0.9896907216494846,0.9947916666666666,1.0,0.0,0.0
86,0.9901315789473685,0.9887817319007346,0.9836065573770492,0.9920844327176781,0.9906542056074766,0.9947089947089947,0.9894736842105263,0.010526315789473628,0.0
87,0.9835526315789473,0.9833374311061939,0.9803921568627451,0.9843260188087775,0.9852941176470589,0.9874213836477987,0.98125,0.018749999999999885,0.0
88,0.9901315789473685,0.9875772825305535,0.9719626168224299,0.9907692307692307,1.0,1.0,0.9817073170731707,0.018292682926829156,0.0
89,0.9703947368421053,0.9739883189643956,0.9666666666666667,0.9635627530364372,0.9917355371900827,0.9916666666666667,0.937007874015748,0.06299212598425148,0.0
90,0.9802631578947368,0.9796139529058784,0.9659863945578231,0.9782608695652174,0.9945945945945946,0.9926470588235294,0.9642857142857143,0.03571428571428546,0.0
91,0.9901315789473685,0.9862577792796597,0.9662921348314607,0.9924812030075187,1.0,1.0,0.9850746268656716,0.014925373134328285,0.0
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
93,0.993421052631579,0.9927237628540668,1.0,0.991869918699187,0.9863013698630136,0.9838709677419355,1.0,0.0,0.0
94,0.9868421052631579,0.9874303088354125,0.9834254143646409,0.9854014598540146,0.9934640522875817,0.9926470588235294,0.9782608695652174,0.021739130434782452,0.0
95,0.9967105263157895,0.9962545804860042,0.9922480620155039,0.9965156794425087,1.0,1.0,0.9930555555555556,0.006944444444444396,0.0
96,0.9967105263157895,0.9965712059224625,0.993103448275862,0.9966101694915255,1.0,1.0,0.9932432432432432,0.006756756756756711,0.0
97,0.9671052631578947,0.9627265962702743,0.9302325581395349,0.9626865671641791,0.995260663507109,0.9923076923076923,0.9347826086956522,0.06521739130434735,0.0
98,0.9967105263157895,0.9969999003873177,1.0,0.997134670487106,0.9938650306748467,0.9942857142857143,1.0,0.0,0.0
99,0.9835526315789473,0.9835935049581392,0.9738219895287958,0.9769585253456221,1.0,1.0,0.954954954954955,0.04504504504504464,0.0
100,0.9901315789473685,0.9914874317511818,1.0,0.9896907216494846,0.9847715736040609,0.9795918367346939,1.0,0.0,0.0
101,0.9901315789473685,0.9904910743765271,0.9834254143646409,0.9880478087649402,1.0,1.0,0.9763779527559056,0.023622047244094304,0.0
102,0.9703947368421053,0.9699816063764563,0.9485714285714286,0.9613733905579399,1.0,1.0,0.9256198347107438,0.07438016528925559,0.0
103,0.9835526315789473,0.9838551130854354,0.9832402234636871,0.9828178694158075,0.9855072463768116,0.9862068965517241,0.9794520547945206,0.020547945205479312,0.0
104,0.9572368421052632,0.9521694107901005,0.9,0.9655172413793104,0.990990990990991,0.994535519125683,0.9381443298969072,0.06185567010309247,0.0
105,0.9638157894736842,0.9653055241260636,0.9479166666666666,0.9535864978902954,0.994413407821229,0.9912280701754386,0.9186991869918699,0.08130081300812943,0.0
106,0.9967105263157895,0.9972573946373074,1.0,0.9956331877729258,0.9961389961389961,0.991304347826087,1.0,0.0,0.0
107,0.9967105263157895,0.9967461303807479,1.0,0.9962264150943396,0.9940119760479041,0.9924812030075187,1.0,0.0,0.0
108,0.9802631578947368,0.9812811660912927,0.9620253164556962,0.9818181818181818,1.0,1.0,0.9642857142857143,0.035714285714285504,0.0
109,0.9769736842105263,0.971233678576975,0.9465648854961832,0.9671361502347418,1.0,1.0,0.9363636363636364,0.06363636363636306,0.0
110,0.9769736842105263,0.9790318846969989,0.97,0.9747292418772563,0.9923664122137404,0.9926470588235294,0.9574468085106383,0.0425531914893614,0.0
111,0.9868421052631579,0.9872594476553811,0.9824561403508771,0.9856115107913669,0.9937106918238994,0.9927536231884058,0.9785714285714285,0.021428571428571276,0.0
112,0.9736842105263158,0.9587761674718197,0.9111111111111111,0.9652173913043478,1.0,1.0,0.9327731092436975,0.06722689075630196,0.0
113,0.9769736842105263,0.9776016517330716,0.9625,0.9788519637462235,0.9914529914529915,0.9938650306748467,0.9642857142857143,0.035714285714285504,0.0
114,0.9868421052631579,0.984935921480667,0.972972972972973,0.9874213836477987,0.994413407821229,0.9936708860759493,0.98125,0.018749999999999885,0.0
115,0.9868421052631579,0.9862486949443472,0.9777777777777777,0.9871794871794872,0.9937888198757764,0.9935483870967742,0.9808917197452229,0.019108280254776948,0.0
116,0.9868421052631579,0.9859582704247569,0.9798657718120806,0.9823008849557522,0.9957081545064378,0.9910714285714286,0.9736842105263158,0.02631578947368398,0.0
117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
119,0.9967105263157895,0.9953806281808538,1.0,0.995850622406639,0.9902912621359223,0.9917355371900827,1.0,0.0,0.0
120,0.9539473684210527,0.9590263637235165,0.952,0.9426229508196722,0.9824561403508771,0.9829059829059829,0.905511811023622,0.09448818897637722,0.0
121,0.993421052631579,0.9941291136337576,0.9882352941176471,0.9941520467836257,1.0,1.0,0.9883720930232558,0.011627906976744118,0.0
122,0.9835526315789473,0.9830312743041644,0.9668874172185431,0.9822064056939501,1.0,1.0,0.965034965034965,0.034965034965034725,0.0
123,0.9605263157894737,0.9599286876073198,0.9491525423728814,0.9651162790697675,0.9655172413793104,0.9822485207100592,0.9485714285714286,0.051428571428571136,0.0
124,0.9967105263157895,0.9967601862892884,0.9940828402366864,0.9961977186311787,1.0,1.0,0.9924242424242424,0.007575757575757519,0.0
125,0.993421052631579,0.9925696594427245,1.0,0.9882352941176471,0.9894736842105263,0.9767441860465116,1.0,0.0,0.0
126,0.9967105263157895,0.9969023597995138,1.0,0.9950738916256158,0.9956331877729258,0.9901960784313726,1.0,0.0,0.0
127,0.9868421052631579,0.9863416706124836,0.9813664596273292,0.9821428571428571,0.9955156950672646,0.990990990990991,0.9734513274336283,0.02654867256637145,0.0
128,0.9868421052631579,0.9870261657363882,0.9850746268656716,0.9811320754716981,0.9948717948717949,0.9904761904761905,0.9719626168224299,0.028037383177569833,0.0
129,0.9802631578947368,0.9766653099986433,0.9629629629629629,0.967032967032967,1.0,1.0,0.9361702127659575,0.06382978723404188,0.0
130,0.993421052631579,0.9933865509313079,1.0,0.9946524064171123,0.9855072463768116,0.9893617021276596,1.0,0.0,0.0
131,0.9868421052631579,0.9875348358172786,0.9841269841269841,0.9861111111111112,0.9923664122137404,0.993006993006993,0.9793103448275862,0.02068965517241365,0.0
132,0.9769736842105263,0.9753329155719594,0.9880478087649402,0.9696969696969697,0.9682539682539683,0.9655172413793104,0.9739130434782609,0.026086956521738904,0.0
