bootstrap_id,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L
0,0.9802631578947368,0.9840066267363324,0.9774436090225563,0.9745762711864406,1.0,1.0,0.9504132231404959,0.049586776859503724,0.0
1,0.9901315789473685,0.9868200428933515,0.9739130434782609,0.9865470852017937,1.0,1.0,0.9734513274336283,0.02654867256637145,0.0
2,0.9703947368421053,0.9647536498977741,0.9256198347107438,0.9686411149825784,1.0,1.0,0.9391891891891891,0.060810810810810405,0.0
3,0.993421052631579,0.992875786887763,0.9846153846153847,0.9940119760479041,1.0,1.0,0.9880952380952381,0.011904761904761835,0.0
4,0.9802631578947368,0.9791497975708502,0.9605263157894737,0.9769230769230769,1.0,1.0,0.9548872180451128,0.04511278195488688,0.0
5,0.9901315789473685,0.9895694689664539,0.9837837837837838,0.9849246231155779,1.0,1.0,0.9702970297029703,0.02970297029702941,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
7,0.9967105263157895,0.9966352793471437,0.9943502824858758,0.9955555555555555,1.0,1.0,0.9911504424778761,0.008849557522123816,0.0
8,0.9901315789473685,0.9812941229371823,0.9523809523809523,0.9915014164305949,1.0,1.0,0.9831460674157303,0.01685393258426957,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
11,0.9802631578947368,0.9770267510720849,0.9491525423728814,0.9819277108433735,1.0,1.0,0.9644970414201184,0.03550295857988145,0.0
12,0.9967105263157895,0.994715627990995,0.9873417721518988,0.9968051118210862,1.0,1.0,0.9936305732484076,0.006369426751592316,0.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
14,0.9802631578947368,0.9806525371559229,0.963855421686747,0.9781021897810219,1.0,1.0,0.9571428571428572,0.04285714285714255,0.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,0.9901315789473685,0.9858761927727445,0.967032967032967,0.9905956112852664,1.0,1.0,0.9813664596273292,0.018633540372670693,0.0
17,0.9703947368421053,0.9753597576369604,0.9613733905579399,0.9647058823529412,1.0,1.0,0.9318181818181818,0.06818181818181766,0.0
18,0.9901315789473685,0.9866739091073692,0.9885931558935361,0.9714285714285714,1.0,1.0,0.9444444444444444,0.055555555555554526,0.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20,0.9901315789473685,0.990291033345116,0.9855072463768116,0.9853658536585366,1.0,1.0,0.9711538461538461,0.02884615384615357,0.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24,0.9901315789473685,0.9895714445563387,0.9777777777777777,0.9909365558912386,1.0,1.0,0.9820359281437125,0.017964071856287317,0.0
25,0.9703947368421053,0.9715677068547595,0.9502762430939227,0.9644268774703557,1.0,1.0,0.9312977099236641,0.06870229007633535,0.0
26,0.9901315789473685,0.9890660821807371,0.9770992366412213,0.9900990099009901,1.0,1.0,0.9803921568627451,0.019607843137254773,0.0
27,0.9802631578947368,0.9816907216494846,0.976,0.9690721649484536,1.0,1.0,0.94,0.0599999999999994,0.0
28,0.9802631578947368,0.9779810298102981,0.9583333333333334,0.975609756097561,1.0,1.0,0.9523809523809523,0.04761904761904724,0.0
29,0.9868421052631579,0.985691573926868,0.9705882352941176,0.9864864864864865,1.0,1.0,0.9733333333333334,0.02666666666666649,0.0
30,0.9901315789473685,0.9907483336487312,0.9879518072289156,0.9842931937172775,1.0,1.0,0.9690721649484536,0.030927835051546074,0.0
31,0.9703947368421053,0.968839148562651,0.9387755102040817,0.967741935483871,1.0,1.0,0.9375,0.06249999999999957,0.0
32,0.9802631578947368,0.9769005847953216,0.9473684210526315,0.9833333333333333,1.0,1.0,0.9672131147540983,0.03278688524590146,0.0
33,0.9769736842105263,0.9767144182053699,0.9554140127388535,0.9747292418772563,1.0,1.0,0.9507042253521126,0.04929577464788698,0.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
35,0.993421052631579,0.992982823627985,0.987012987012987,0.9919354838709677,1.0,1.0,0.984,0.015999999999999872,0.0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
38,0.9802631578947368,0.9805693267231729,0.9594594594594594,0.9822485207100592,1.0,1.0,0.9651162790697675,0.034883720930232356,0.0
39,0.9901315789473685,0.9902198189726108,0.9834254143646409,0.9872340425531915,1.0,1.0,0.9747899159663865,0.025210084033613234,0.0
40,0.9901315789473685,0.9885635738831615,0.976,0.9896907216494846,1.0,1.0,0.9795918367346939,0.020408163265305986,0.0
41,0.9901315789473685,0.9882598103959378,0.975609756097561,0.9891696750902527,1.0,1.0,0.9785714285714285,0.021428571428571276,0.0
42,0.993421052631579,0.9922470603437136,0.9859154929577465,0.9908256880733946,1.0,1.0,0.9818181818181818,0.018181818181818018,0.0
43,0.9901315789473685,0.9887130149686921,0.9763779527559056,0.9897610921501706,1.0,1.0,0.9797297297297297,0.020270270270270133,0.0
44,0.9802631578947368,0.9812873603049468,0.9690721649484536,0.9747899159663865,1.0,1.0,0.9508196721311475,0.049180327868852056,0.0
45,0.9967105263157895,0.9960241778423597,0.9917355371900827,0.9963369963369964,1.0,1.0,0.9927007299270073,0.007299270072992648,0.0
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
47,0.9638157894736842,0.9637790618681117,0.9527896995708155,0.9385474860335196,1.0,1.0,0.8842105263157894,0.11578947368420932,0.0
