metric,point_estimate,bootstrap_mean,bootstrap_std,ci_2.5,ci_97.5,n_bootstrap,block_length
Acc,0.9901315789473685,0.9897407894736842,0.009508546549893854,0.9671052631578947,1.0,5000,12
MacroF1,0.9902304781561747,0.9890095131864269,0.012105294283340576,0.9655697414013222,1.0,5000,12
E_F1,0.9824561403508771,0.979368686814662,0.02855521392751164,0.9302325581395349,1.0,5000,12
M_F1,0.9882352941176471,0.9876598527446189,0.012063288101118848,0.9589015443024985,1.0,5000,12
L_F1,1.0,1.0,0.0,1.0,1.0,5000,12
M_Precision,1.0,1.0,0.0,1.0,1.0,5000,12
M_Recall,0.9767441860465116,0.975896966464016,0.023205808283205977,0.9210478985232866,1.0,5000,12
M_to_E,0.02325581395348819,0.02410303353598378,0.023205808283205762,0.0,0.07895210147671261,5000,12
M_to_L,0.0,0.0,0.0,0.0,0.0,5000,12
