Method,Acc,Acc_CI_low,Acc_CI_high,MacroF1,MacroF1_CI_low,MacroF1_CI_high,M_F1,M_F1_CI_low,M_F1_CI_high,M_Rec,M_Rec_CI_low,M_Rec_CI_high,M_to_E,M_to_L,Rev,Jump,Smooth
RF,0.9769736842105263,0.9506578947368421,0.993421052631579,0.9773279380019092,0.9451518803779593,0.9936086452226967,0.9723320158102767,0.9407106250418704,0.9923664122137404,0.9534883720930233,0.9090909090909091,0.9855089882943144,0.03875968992248032,0.007751937984496064,5,0,0.11049504950495051
TCN-GRU,0.868421052631579,0.7302631578947368,0.9671052631578947,0.8745597385825539,0.7373940992626998,0.9668215742727172,0.8260869565217391,0.6086956521739131,0.9586833465413789,0.7364341085271318,0.46357212082054594,0.9696969696969697,0.2635658914728662,0.0,0,0,0.02195115511551155
Multi-task TCN-GRU,0.9901315789473685,0.9671052631578947,1.0,0.9902304781561747,0.9655697414013222,1.0,0.9882352941176471,0.9589015443024985,1.0,0.9767441860465116,0.9210478985232866,1.0,0.02325581395348819,0.0,0,0,0.023590099009900993
DC-PSR,0.9868421052631579,0.9638157894736842,1.0,0.9871020928241414,0.9614595332226533,1.0,0.984375,0.9539742072230787,1.0,0.9767441860465116,0.9210478985232866,1.0,0.02325581395348819,0.0,0,0,0.018762706270627056
HTT-Net (adapted),0.7763157894736842,0.6084703947368421,0.9046052631578947,0.7793803418803419,0.6131803247529054,0.8989993099979691,0.6458333333333334,0.35555555555555557,0.8524673379379211,0.4806201550387597,0.21872996794871796,0.7525800908990133,0.1085271317829449,0.4108527131782914,4,3,0.0649591132819632
Multi-source Attention,0.8125,0.7038651315789474,0.8980263157894737,0.8195212874954683,0.7005943743830568,0.8955157857123801,0.7543859649122807,0.6016832172195071,0.8692003805741706,0.6666666666666666,0.4845360824742268,0.8333333333333334,0.06201550387596851,0.27131782945736227,22,2,0.32510083353933256
MTF-AViTK,0.9703947368421053,0.9375,0.993421052631579,0.9713382539327519,0.937952239424025,0.9933389274247819,0.9657794676806084,0.9135802469135802,0.9931995617038761,0.9844961240310077,0.9532673773364486,1.0,0.015503875968992128,0.0,8,0,0.19011765882472606
Dynamic GIN + TGP,0.8026315789473685,0.6480263157894737,0.9177631578947368,0.8092427461877002,0.638937132651509,0.9168241362851498,0.7560975609756098,0.5341582387564632,0.9008379739651685,0.7209302325581395,0.4690250228867867,0.9295836422041017,0.2790697674418583,0.0,7,0,0.08542534166666667
DP2Net-adapted,0.9046052631578947,0.7927631578947368,0.9835526315789473,0.9000776159216511,0.7629604069280153,0.9838389200987719,0.896797153024911,0.7562889671997831,0.9833887043189369,0.9767441860465116,0.9208478615880302,1.0,0.0,0.02325581395348819,4,0,0.05341049988913365
